"","DLF005-IE","DLM006-IE","DOM005-IE","DOM017-IE","MH0192","MH0221","MH0222","MH0234","MH0238","MH0245","MH0246","MH0252","MH0259","MH0260","MH0261","MH0262","MH0264","MH0265","MH0266","MH0268","MH0270","MH0271","MH0280","MH0281","MH0283","MH0284","MH0290","MH0293","MH0297","MH0298","MH0299","MH0301","MH0303","MH0308","MH0309","MH0310","MH0311","MH0314","MH0315","MH0319","MH0323","MH0325","MH0326","MH0327","MH0328","MH0329","MH0330","MH0332","MH0334","MH0335","MH0336","MH0337","MH0338","MH0339","MH0340","MH0341","MH0342","MH0343","MH0345","MH0346","MH0347","MH0348","MH0349","MH0350","MH0351","MH0354","MH0355","MH0356","MH0357","MH0358","MH0359","MH0360","MH0361","MH0362","MH0363","MH0364","MH0365","MH0366","MH0367","MH0368","MH0369","MH0370","MH0371","MH0372","MH0373","MH0374","MH0375","MH0376","MH0377","MH0378","MH0379","MH0381","MH0382","MH0383","MH0384","MH0385","MH0386","MH0387","MH0388","MH0389","MH0390","MH0391","MH0392","MH0393","MH0394","MH0395","MH0396","MH0397","MH0398","MH0399","MH0400","MH0401","MH0402","NLF002-IE","NLF009-IE","NLM009-IE","NLM025-IE","NOF002-IE","NOF007-IE","NOF013-IE","O2.CD1-0-PT","O2.CD1-0","O2.CD2-0-PT","O2.CD2-0","O2.CD3-0-PT","O2.UC1-1","O2.UC11-1","O2.UC12-1","O2.UC13-1","O2.UC14-1","O2.UC15-0","O2.UC15-1","O2.UC15-2","O2.UC16-1","O2.UC17-1","O2.UC18-1","O2.UC19-1","O2.UC2-1","O2.UC20-1","O2.UC21-1","O2.UC22-1","O2.UC23-1","O2.UC24-1","O2.UC26-1","O2.UC27-1","O2.UC28-0","O2.UC28-1","O2.UC28-2","O2.UC29-1","O2.UC3-1","O2.UC30-1","O2.UC31-1","O2.UC32-1","O2.UC35-1","O2.UC36-0","O2.UC36-1","O2.UC37-1","O2.UC38-1","O2.UC4-1","O2.UC40-1","O2.UC41-1","O2.UC43-1","O2.UC44-1","O2.UC46-1","O2.UC47-1","O2.UC48-1","O2.UC5-1","O2.UC6-0","O2.UC6-1","O2.UC6-2","O2.UC7-0","O2.UC7-1","O2.UC8-0","O2.UC8-1","O2.UC8-2","O2.UC9-1","V1.CD1-0-PN","V1.CD1-0-PT","V1.CD1-3-PN","V1.CD12-3","V1.CD2-0-PN","V1.CD2-0-PT","V1.CD20-0","V1.CD3-0-PN","V1.CD3-0-PT","V1.CD3-3-PN","V1.CD32-0","V1.CD32-4","V1.CD37-4","V1.CD4-0-PN","V1.CD4-0-PT","V1.CD40-0","V1.CD43-0","V1.CD44-0","V1.CD44-4","V1.CD45-0","V1.CD46-0","V1.CD48-0","V1.CD49-0","V1.CD5-0-PN","V1.CD50-0","V1.CD51-0","V1.CD52-0","V1.CD53-0","V1.CD54-0","V1.CD55-0","V1.CD6-0-PN","V1.CD6-0-PT","V1.CD7-0-PN","V1.CD8-0-PN","V1.FI01","V1.FI02","V1.FI03","V1.FI04","V1.FI05","V1.FI06","V1.FI07","V1.FI08","V1.FI09","V1.FI10","V1.FI11","V1.FI12","V1.FI13","V1.FI14","V1.FI15","V1.FI16","V1.FI17","V1.FI18","V1.FI19","V1.FI20","V1.FI21","V1.FI22","V1.FI23","V1.FI24","V1.FI25","V1.FI26","V1.FI27","V1.FI28","V1.FI29","V1.FI30","V1.FI31","V1.FI32","V1.FI33","V1.FI34","V1.FI35","V1.FI36","V1.FI37","V1.UC22-1","V1.UC38-4","V1.UC39-4","V1.UC40-1","V1.UC47-4","V1.UC54-4","V1.UC56-1","V1.UC58-4","V1.UC59-0","V1.UC59-4","V1.UC60-0","V1.UC63-0","V1.UC64-0","FeatureID"
"Prevotella sp. CAG:1185",12649,0,0,0,11884979,0,0,0,169106,5307004,0,0,0,0,0,0,1830,0,0,0,0,0,0,0,0,0,0,81258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260648,0,0,0,0,0,0,0,0,0,102201,0,0,0,0,0,0,0,0,0,182379,0,0,547013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252886,0,0,0,11109,0,0,0,0,0,0,0,0,0,0,4980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141513,0,0,0,15026,131757,0,0,0,0,36735,67098,0,0,34808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31373,0,0,0,24897,29618,22444,0,0,0,0,0,0,531650,0,69647,0,0,0,0,0,0,0,0,0,64697,0,0,0,604135,0,0,0,0,0,0,0,0,35941,0,0,0,0,0,0,0,70297,0,0,0,0,0,0,40753,0,2707,264036,29012,264588,0,3542,0,0,0,0,0,0,0,0,0,29522,0,0,0,0,0,323981,0,0,0,0,0,0,0,0,0,20609,0,0,45823,0,0,0,0,435,268103,0,"Prevotella sp. CAG:1185"
"Ruthenibacterium lactatiformans",12412,13348,15036,14928,37204,28341,25542,23052,68439,71924,31883,135973,29798,15052,4761,179452,41561,4760,27754,99047,339787,61634,72794,154756,7395,28406,48076,88685,13481,38560,7790,324887,18454,41867,1940118,25712,18962,23356,56121,13490,194845,28235,16839,0,18571,244249,161217,55498,54688,88967,204829,77990,90555,206758,7801,0,27606,27986,0,105946,67823,67459,97965,27234,19310,39154,51792,158073,6695,65819,98530,104992,70059,189588,10260,45694,23379,198039,277091,8931,97229,665983,34908,206913,458987,77133,170081,8292,17327,105377,25687,49601,660990,34140,44015,17397,9760,28172,12278,95265,82773,147149,91207,78156,31388,120475,29196,75144,19863,117322,38146,11483,139851,44714,0,0,0,46347,17686,5511,6746,251415,0,148832,281322,0,127577,30379,10467,16682,88864,14499,24873,24481,15485,23273,11888,7116,22879,5647,30098,75546,0,5249,2518,82218,39957,163024,652953,123636,185,31054,49572,72487,4590,12713,48145,119515,1357,58452,22670,0,7691,136821,1694434,103296,8858,29199,113880,54945,22588,32629,23817,18789,14503,3178,100651,40082,209727,0,204636,84,29980,5244784,0,0,186940,1515,193673,83007,0,15667,90358,0,0,10434,68993,11736,37611,0,30782,112962,56245,0,1298419,98642,19364,151156,0,88607,16300,172413,24404,219455,1924581,80465,78813,196395,20924,497064,464423,292699,544074,232113,52656,151381,307399,67476,404288,323279,39828,55101,0,22987,55570,362355,52820,172622,23015,189320,13661,420496,17521,1360638,16954,76599,16002,41406,31334,22631,19855,8945,32012,0,487468,184646,0,12466,120501,102614,"Ruthenibacterium lactatiformans"
"Coprococcus catus",11789,80256,0,31823,37340,49084,238206,80024,190936,74674,425997,11704,73441,70741,36113,204041,36326,12059,115035,275323,30994,131837,138229,0,21062,28076,134896,50094,37996,46931,36656,0,183467,24935,141023,109374,0,61540,82446,47089,40635,29683,313888,61890,194739,203745,188672,136299,98718,0,39614,20011,154260,207392,93469,0,0,74433,97519,280790,125620,156787,109493,224545,0,425781,61177,165898,81453,0,67380,308444,29863,71068,121409,76674,34064,366887,239747,83267,45785,0,40011,0,59869,199425,0,184909,95914,45735,166403,44611,100646,24370,39673,182198,9431,93007,27021,62182,143387,102395,475577,0,117867,140299,156031,86758,79920,35510,156008,17896,258211,2762,8315,4011,9581,0,0,0,49472,135303,0,39119,0,42829,187285,112204,143528,69606,15353,8536,2957,124325,0,77203,0,104591,243772,80455,0,157505,237202,0,442672,0,0,0,261399,158131,432799,98348,125020,53123,199443,47770,0,104325,187620,99271,97407,40766,120919,0,153594,9761,15896,0,0,0,0,0,164921,172167,255852,176295,132845,0,314115,3440,0,203596,6779,0,0,0,359404,3637,0,119453,0,215784,69797,0,0,151101,316579,0,155159,0,167153,203940,217827,0,0,197397,322986,196182,0,310325,129341,120748,0,0,0,118084,385218,0,211063,0,3283,28625,0,224548,143147,169431,287585,0,212513,0,0,0,0,10574,7176,73714,130971,0,328924,127596,85191,55311,0,0,44425,0,204909,428577,305679,140759,0,200225,0,0,206763,125165,0,242590,291277,36841,"Coprococcus catus"
"Bacteroides salyersiae",11666,45504,270796,0,0,0,560589,89573,27205,54035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,661781,0,0,0,0,0,699009,0,0,0,0,0,0,0,0,0,0,100355,0,0,4361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2679,0,0,0,0,0,0,0,0,0,0,0,0,0,777481,0,0,6958,0,0,0,0,0,1670050,0,0,266108,593795,0,1050980,0,1235866,0,0,0,0,49583,0,0,0,911598,2104636,0,0,0,537462,114001,0,0,0,0,0,428838,712,90,0,1420189,0,0,6223,15796,0,0,0,0,0,39348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117492,0,0,35367,51687,0,0,0,246149,3118539,0,3451,23435,0,0,0,2539,414126,177216,1694545,1777036,0,0,0,0,365554,0,204390,0,0,0,0,0,0,0,0,0,0,0,0,1301,0,456237,622898,0,0,0,332012,0,0,0,0,0,0,0,0,0,0,13702,102554,0,0,39811,0,0,0,0,0,0,1040,13789,0,0,21752,5835,3142,923983,0,1931775,0,0,0,9836,0,0,0,0,0,0,8170,0,0,2516,826231,486316,70002,0,0,0,138145,0,63080,0,188806,632598,0,0,0,761821,"Bacteroides salyersiae"
"[Ruminococcus] torques",11316,132881,0,84308,133953,0,1539143,28256,143081,369660,20368,1429704,113467,112301,6431,143965,62822,24983,198485,582212,492752,116911,413482,0,135814,483389,124300,519158,63694,334865,194027,0,454914,103771,841972,230437,0,0,254892,138827,225541,179627,1239725,58261,306121,288357,977523,107549,130856,0,103884,0,2455,714572,22978,248832,275888,0,54601,346548,73214,147824,154275,344902,0,3108267,239384,993157,451432,0,0,137016,427450,0,117121,66321,109016,185661,123474,261743,0,0,546744,151193,911993,245483,0,367137,0,108756,199005,153285,593750,89870,82182,490932,65993,358266,133991,0,36651,79680,113873,0,382683,12219,77706,512017,395677,98246,672150,137795,225576,12317,152166,83001,42054,25929,0,0,0,5766,0,0,0,121608,413958,1470413,201184,410982,4201,163514,264227,334261,837345,243134,0,268078,50562,403567,194502,26396,44210,0,69549,719972,239311,1410487,381681,673541,370446,572781,299063,68286,102017,85589,0,0,754158,515625,372971,1945968,489936,9411571,1098372,0,164406,3416445,1528729,2178160,346035,335691,608945,814360,572457,270564,0,976585,0,0,0,4325166,0,0,23698,0,0,0,0,243622,9146,285868,45591,126623,109931,529298,0,771054,165593,3137294,266615,1640660,274230,0,0,282178,292487,226530,0,1939722,353248,139322,121160,658010,0,437985,1225232,467933,447954,676643,183384,172516,250805,181060,168040,642948,69924,0,0,0,872,3378039,0,42123,96378,958768,97721,456388,1062,1303090,212018,82844,0,1833226,0,1092682,42640,817216,0,1596,0,1142181,1451276,0,143965,0,0,4551,1345005,191481,"[Ruminococcus] torques"
"Megamonas hypermegale",10901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124768,0,0,837956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100003,0,0,0,0,0,0,0,0,0,0,0,0,792576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133425,48437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127872,1209,1492,0,0,0,0,0,0,0,290268,0,201467,138862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1681,63948,0,0,71433,0,0,0,0,0,0,0,0,0,0,0,0,0,1688482,548668,511489,0,0,0,0,0,0,0,0,0,0,0,0,784,0,0,0,0,0,0,0,0,0,0,619037,1382832,0,0,0,509247,0,0,0,60419,0,0,0,0,0,0,0,0,0,0,0,2156,216484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000947,0,0,0,0,0,0,134642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200502,0,0,"Megamonas hypermegale"
"Alistipes finegoldii",10714,306,0,0,13212,1652209,47064,98237,731785,219729,213936,1290763,83707,5017,11102,958751,0,16049,149114,906145,574613,87142,159860,5858251,5119,3463,439440,885043,711182,459991,0,524790,33913,4498834,2051779,38562,727287,246816,177235,80986,4835,38645,899980,108929,48655,178665,146814,1789247,85442,2255,113108,716781,266539,591,954181,167869,94052,1825275,34568,1179044,1529195,7903551,2031177,141581,0,181573,15351,717199,11653,201319,620184,283246,258374,145816,108138,1330789,18154,74653,20498,308488,177925,10884154,125555,262284,3802833,3239,26599,608405,228770,72558,77539,890100,2132065,18019,268791,9257,410510,357413,516148,493832,0,1204918,1137679,172683,124738,35004,184258,162164,128307,832648,37305,53515,1782,0,94048,0,0,0,129084,0,0,128054,13303,0,1918049,35226,27395,4186,1099145,2912,0,0,652,39753,6187,66303,513,214155,0,389622,238075,2536,0,0,0,387751,296158,102137,426400,1603,0,148161,13605,3242116,27350,341312,140178,663341,319339,373283,112974,0,38253,0,26968,5381,24052,1190,6751,0,46735,280872,0,179,75142,46459,262,497830,4572,21159,326,12559,164208,177228,0,53473,395307,16829,1718558,448926,0,932,324094,1560321,1194577,39484,0,2403884,266984,0,5847738,149369,1301640,100122,344262,194617,62917,59664,0,128795,78080,5533527,253642,1143962,178000,123141,220815,0,2460,240,362135,2885039,20031,14318,126403,19240,271277,36680,1073882,637773,36384,1980391,223,289692,36852,152219,49908,84269,88001,1841,46634,83498,356092,380005,1787,229720,147,30918,2422,101470,37213,301508,0,0,64091,15931,0,44693,339721,294236,"Alistipes finegoldii"
"Flavonifractor plautii",9080,48739,39927,24495,458083,226470,39500,18626,27376,59884,186073,45284,32540,4303,6528,68887,12994,3139,4159,30380,68128,65642,10258,243973,3166,74507,6992,23779,18884,8599,49619,268391,0,0,140359,54065,516270,9237,105,67022,16680,30416,18735,249637,0,0,59766,117496,9412,192885,8658,125865,279,0,0,32930,363249,190817,0,16655,9786,17982,0,41333,48033,0,0,14501,0,677383,44118,30881,24225,11054,0,2800,777,31005,10598,0,1587,102678,8323,96247,0,0,197838,38202,0,61372,17087,16720,400366,7104,6236,0,0,371679,131933,17238,0,3666,3168,784763,3225,20459,2326,50332,0,24235,8824,965,0,7648,25727,0,0,1680367,93677,59748,59088,157947,53041,66968,191870,295,504979,132376,445,3692,527747,111301,135980,16905,159491,165812,168770,4210,39110,3769,88951,140092,0,33518,41267,9959,85245,7631,19180,120450,2812,36324,146644,125725,65977,98895,219942,45923,5302,0,243050,18465,1795,1085746,258702,792935,821855,231021,399336,205891,479026,148888,316310,523048,80420,42730,333832,408381,468697,50229,746958,12884,676822,1965474,1303203,509163,520390,35837,1046372,35316,714599,4358,86646,133082,309517,15633,928166,692218,290697,0,69518,121851,66316,12027,1362801,16457,0,1706,0,19724,6455,229258,278500,447537,851770,166366,57568,1026642,55332,1215080,1239995,264336,1583513,2679,238272,55733,17765,449956,64807,487636,264792,1388229,920766,21900,94916,343612,20759,81533,384461,81266,28490,301420,231591,1420569,158271,268962,329416,41506,750813,382087,10505,54045,255074,0,330828,199699,0,23835,65484,44610,"Flavonifractor plautii"
"Alistipes indistinctus",7811,0,92701,11475,0,0,0,41036,0,9842,463,15467,94029,0,0,25980,1879,0,0,0,0,0,0,41931,0,3533,19062,16997,11114,179872,9934,92243,260051,11571,314666,0,19777,59967,134224,0,4421,121932,7977,0,0,17775,0,281015,83240,0,129707,172523,349627,49961,12257,0,0,27450,0,0,0,0,56602,0,0,0,8505,14848,0,235301,623542,421693,52270,10442,46064,105561,4505,0,144699,0,137529,81505,102884,0,339182,6296,46604,40760,10342,0,3215,87215,0,0,0,0,7198,0,5036,235429,13996,50410,4480,0,8969,17598,0,147991,39853,202592,0,197191,26138,0,0,0,0,0,0,0,0,32592,0,41649,177517,22679,19741,0,2179,6128,0,58536,13826,51961,12223,133268,0,7335,0,0,0,55029,0,0,0,19925,15202,1530,9805,0,5986,21157,50572,40032,4490,23710,0,243211,28050,110373,101279,0,48142,20765,81128,88738,0,83965,393972,238442,5076,14600,4324,13643,0,0,28793,0,10153,0,0,0,247903,0,0,229034,42056,0,223865,30165,0,0,20495,68161,0,0,0,0,46946,0,313275,11083,7804,0,0,12475,0,11042,0,19423,12975,70326,33878,232446,96417,61200,2097,0,57645,0,0,0,0,81532,31124,0,0,13418,28224,33336,0,0,0,9353,11049,0,0,23283,0,1426,3420,681282,159414,181883,8989,413243,0,0,40114,125002,5168,254,62662,0,244529,107211,0,0,2551,21042,"Alistipes indistinctus"
"Haemophilus parainfluenzae",7744,31513,0,0,0,0,0,817964,0,0,0,0,0,26636,0,0,0,51587,15643,0,22700,0,0,0,0,0,2112,0,7323,0,0,0,96647,24755,0,5260,25976,87923,0,0,50555,0,33093,0,0,0,0,0,0,168047,0,0,5989,14519,33017,640519,0,0,558001,234932,0,0,0,0,1385,0,4866,0,0,0,0,969,0,0,17558,0,160412,0,0,26906,0,0,48311,0,2121,1219,0,0,17149,0,5150,6385,0,1499,0,2769,18258,0,0,0,0,9167,10773,27739,0,2204,0,0,25191,0,43753,195237,15738,5597,1029,65316,0,8992,0,18453,234207,7953,0,2244,0,3849,0,6877,8506,0,0,0,0,0,40308,0,0,24072,4604,3838,19098,0,1298,0,12771,4735,0,3874,0,922,273445,0,1862,1025,3243,1116,156002,0,33144,0,6786,5993,22454,0,0,0,0,1273,0,0,1099,0,0,0,13177,21097,0,0,0,0,953,0,0,0,0,434,0,0,0,0,0,343556,1100,0,0,0,0,0,0,0,5803,17682,2585,0,2994,5956,28608,7171,0,69347,10048,0,0,0,0,0,4028,53578,2359,0,0,27056,0,0,2520,13815,0,0,0,0,4384,0,0,75872,0,0,0,23953,0,2073,5528,0,0,0,0,1365,1382632,0,221824,5043,23872,3303,0,6143,0,2032,0,0,0,0,"Haemophilus parainfluenzae"
"Veillonella dispar",6161,6537,0,0,0,0,0,1669,0,0,0,0,0,92111,0,0,0,282264,0,2188,0,1754,0,0,0,0,1013,0,0,0,0,0,47631,2081,0,0,11266,0,0,0,7073,0,6594,0,0,2927,0,0,0,1235769,0,0,0,0,2298,0,0,0,37607,51252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200474,0,98085,0,0,5197,0,0,0,0,0,0,0,6733,0,0,14690,9040,0,8350,0,0,28195,0,0,0,0,0,0,2789,0,2257,0,1434,6361,0,37265,25107,0,0,0,0,0,0,0,10255,0,0,0,0,0,0,1229,0,0,0,0,0,0,0,6207,0,110781,2559,0,1553,8540,0,0,1558,3731,0,0,1365,0,0,2982,0,0,0,1863,0,0,0,8773,0,2099,7133,0,4420,0,0,0,0,2402,0,12416,0,2728,5880,25606,20365,0,0,0,0,0,0,0,0,0,5300,0,0,0,0,0,3941,0,0,0,701,1739,0,0,1597,0,1516,0,0,3330,2829,0,0,0,0,8045,0,0,0,0,0,0,5095,0,0,0,0,0,0,0,35618,0,0,834,0,2999,11072,0,219282,0,0,0,0,1236,0,0,0,0,0,1520,0,378652,0,75253,0,0,14905,0,0,0,0,0,4052,0,0,"Veillonella dispar"
"Prevotella stercorea",5963,2864369,816,5310,0,0,0,0,0,0,0,9572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511272,0,0,0,0,0,0,0,0,0,371725,0,0,0,0,25392,2330844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79261,0,9328935,0,0,0,0,0,0,0,0,2305,0,0,0,0,0,619252,0,188163,0,0,3603838,935273,0,6470,0,0,0,0,189594,0,0,0,46858,0,24059,0,0,0,617381,0,3587040,0,0,6809,0,0,0,38611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396014,11524466,0,0,0,38148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133086,0,0,0,0,0,0,5056,4053329,0,0,180337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2514,5871,0,2933132,0,0,170,741469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Prevotella stercorea"
"Blautia obeum",5649,26342,0,29637,42449,0,49413,145065,219644,101321,0,409723,236545,51514,2366,36554,91321,129791,39321,11659,5346,12713,691,123797,12896,118841,210403,664578,96318,63324,10876,71558,216822,296234,71108,107349,0,107766,74842,34994,221095,13253,14002,349161,254783,126085,174881,42068,113787,0,732278,1233639,37166,147229,78120,14291,63940,56844,286292,169529,35483,61720,193870,486191,0,780285,164066,243167,21790,1761,140076,164802,60417,191884,171610,57421,58195,103532,127222,37991,45750,0,164503,199128,4585,190810,101711,210231,880974,265017,56753,57783,918292,138977,17983,67272,104788,17738,82187,58296,162103,264046,581086,403801,466522,21722,210613,219987,306706,208961,51802,40214,570067,5180,71234,12740,23607,50907,18421,19106,107925,381196,0,45778,0,80886,260841,88243,368460,138555,0,608293,532235,59569,22612,773849,0,83043,153230,373281,74209,112551,384192,0,65336,229129,80620,379602,16354,41903,132281,45214,328060,245743,1118699,58480,558774,112792,132019,308466,132783,71641,478857,916244,440271,696783,40569,179818,69851,134582,127348,38259,999251,526281,79449,48995,801978,0,664545,1494,0,74759,53897,0,0,0,50526,18250,0,35637,0,322142,52674,16969,2725,218662,0,9482,271577,102688,861931,1013992,183456,0,0,369667,905754,586360,0,2566890,136534,466761,38385,208130,448171,125880,78159,0,167643,0,34708,162179,23743,42186,465720,75423,4804,15192,698912,165391,0,0,0,40002,144348,682137,143273,769790,439684,198924,111518,213128,0,3477,13079,86952,161454,630348,599774,192609,903900,321892,209450,0,246866,130320,0,160212,288992,21349,"Blautia obeum"
"Eggerthella lenta",5210,29680,11126,1083,0,10795,0,0,0,0,17586,0,0,0,0,0,0,0,1747,1094,9368,12542,0,0,0,0,0,0,0,0,2296,24100,0,0,1871,0,5263,0,0,0,0,0,0,512,0,0,0,0,0,33019,0,9159,0,0,0,524,3874,7967,0,0,1219,18651,0,0,4308,0,0,0,0,346,2806,5770,414,0,0,0,0,0,4224,0,0,159234,0,842,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2124,0,0,0,0,0,0,0,0,0,10713,6010,0,0,53022,12411,29729,67262,218011,290,0,73825,0,5060,0,0,0,75067,0,0,0,0,0,94954,2913,0,0,10048,74753,0,2215,7671,0,0,0,0,369,0,0,3572,0,154264,3840,56230,6730,0,0,214,0,0,0,41887,58213,0,1823,6471,0,464737,45039,0,0,16984,3095,0,0,12944,619,241620,54607,49576,0,0,0,0,0,15323,15122,0,0,0,368,0,7153,149849,169703,0,0,0,0,28080,13212,326495,25950,0,10000,0,0,0,1560,0,438631,108577,0,18538,433356,0,303849,58806,14600,102973,8174,897,32148,4709,112706,62712,12565,0,72476,0,0,1720,216524,168,78391,621349,0,0,12499,0,214395,7965,6455,0,5153,155406,0,0,0,0,368,5861,8681,0,20998,0,0,"Eggerthella lenta"
"Bilophila wadsworthia",4856,34856,67736,24962,106014,115498,4754,49375,0,10154,114492,23287,48254,11191,15622,3281,347,0,49969,135537,57141,995,16692,109986,0,5933,19284,70159,0,51593,16534,0,33982,1981,0,22899,54694,2102,125482,145718,0,258131,52178,57099,0,17402,0,175152,11596,54407,3748,143377,2424,10261,38871,17364,131792,145455,0,23205,7338,51988,25603,14223,0,0,0,0,809,0,3909,55364,0,37687,0,25287,12043,104999,37264,0,157410,0,27900,0,3659,0,23827,14021,17083,0,26100,27914,272346,0,3502,2345,0,25055,32180,9478,23171,33346,48580,216922,180742,19082,0,93275,256153,60196,547,47560,8384,6826,23319,0,0,166769,7396,1179,0,113539,17674,0,0,1153,71700,1530,58809,9858,0,1477,9702,0,5460,104167,15828,14390,3995,8133,17006,95853,0,2370,0,23008,25719,6176,33290,32026,0,15013,0,83642,6328,21432,0,61370,6001,7180,4138,593,1470,17256,77776,118678,99719,54066,86315,46491,220558,227497,0,0,0,0,36330,234,141720,95643,132574,2506,0,105713,0,80633,13519,1866,203899,37135,0,0,74517,6157,8874,19868,59913,0,190456,0,64326,60183,4316,25079,0,25321,1507,105854,0,9817,35107,78375,827,147259,610,81713,157166,0,1300,771850,125722,143726,110774,28459,9820,71346,328955,104907,163474,150625,0,79304,0,209406,42536,130850,0,69965,16325,89749,0,77545,0,164229,2179,316405,15123,4863,0,72894,27551,9550,127764,0,310463,0,0,64118,28791,3146,"Bilophila wadsworthia"
"Adlercreutzia equolifaciens",4355,5252,0,0,0,0,0,8475,3205,19337,0,492492,5623,9192,0,0,0,586,52664,114727,22253,34742,20749,16130,0,7869,10322,4932,12113,0,8055,93418,0,6886,32600,45557,0,39571,65142,3945,0,27977,101896,259225,0,1599,953,155,2064,0,1715,16000,0,0,0,0,885,0,24397,62965,14905,41753,361,45968,31396,0,0,96909,0,20036,33158,0,3383,8927,0,0,4675,33845,59030,191,19227,192989,923,46066,0,0,143580,32951,654,0,0,14170,31250,0,14064,658,0,10733,1063,11607,0,860,15363,0,2155,19969,6850,939,0,0,0,841,0,0,18132,0,3543,0,1704,0,0,536,0,0,400,0,283707,800,0,3672,0,0,55537,0,12547,144389,0,14403,325928,0,200486,0,0,0,1155,33135,56443,91080,184,26521,0,8674,65040,79993,481286,34189,0,235371,1615,178091,169941,0,12998,214586,192576,0,9930,0,0,0,509380,339995,127061,78013,304,0,187208,302,137170,0,169,0,0,152,0,0,0,0,5322,126567,0,40711,894898,0,0,43093,30107,152365,3309,0,5939,90039,134062,0,1704,516390,148350,0,0,51069,32204,17036,29583,523784,351194,468597,406448,2038,41756,2107,8087,84044,393,5427,166832,67379,45132,5132,455996,1446612,84478,0,0,16116,444160,218944,116709,1302,5139,3900,9582,764379,0,1773,0,111996,109580,549983,2132,20459,107740,171854,84559,0,66083,0,0,85433,125046,4776,"Adlercreutzia equolifaciens"
"Turicimonas muris",4194,11852,0,6883,0,21501,2100,24992,5856,11939,0,0,20394,0,0,16735,3752,1934,0,19218,0,2213,0,2037,0,0,381,0,8378,0,0,0,0,46163,9650,0,404,49835,17076,0,0,71757,49697,0,0,3483,0,2482,5317,0,3090,17608,9314,0,7092,0,42959,43378,2713,0,462,0,0,1481,0,0,0,1530,0,46014,4593,0,1204,955,14447,0,1763,0,0,34408,0,0,487,0,0,0,1277,26946,0,17503,0,0,1785,3412,0,5677,10436,0,0,57319,0,27734,0,0,0,0,0,46977,9447,7841,0,0,68242,0,30472,4146,0,0,0,0,0,0,0,0,19377,11471,48897,8775,6146,5232,0,0,0,0,0,0,0,29216,21004,3956,1840,27964,1790,0,47807,52571,19515,21300,0,0,0,27329,81793,1290,22477,19398,17882,0,10979,10014,6374,0,0,13945,532,64950,59512,0,1121,5598,67578,28413,1219,1728,0,0,5642,0,3644,213467,0,0,172876,0,0,0,0,0,0,10044,0,0,1650,0,0,5329,0,0,53711,0,49044,0,0,0,0,20526,5715,39285,0,3844,1517,11757,58679,0,560,0,0,60994,2375,61407,7437,20231,2680,6711,42689,0,0,10067,0,44958,0,0,33949,1865,0,4618,1376,11630,0,14827,964,0,0,5014,0,1573,497,0,40002,0,28622,1629,132914,0,66923,0,0,2093,160167,54514,"Turicimonas muris"
