"","CON-001","CON-002","CON-003","CON-004","CON-005","CON-006","CON-007","CON-008","CON-009","CON-010","CON-011","CON-012","CON-013","CON-014","CON-015","CON-016","CON-017","CON-018","CON-019","CON-020","CON-021","CON-022","CON-023","CON-024","CON-025","CON-026","CON-027","CON-028","CON-029","CON-030","CON-031","CON-032","CON-033","CON-034","CON-035","CON-036","CON-037","CON-038","CON-039","CON-040","CON-041","CON-042","CON-043","CON-044","CON-045","CON-046","CON-047","CON-048","CON-049","CON-050","CON-051","CON-052","CON-053","CON-054","CON-055","CON-056","CON-057","CON-058","CON-059","CON-060","CON-061","CON-062","CON-063","CON-064","CON-065","CON-066","CON-067","CON-068","CON-069","CON-070","CON-071","CON-072","CON-073","CON-074","CON-075","CON-076","CON-077","CON-078","CON-079","CON-080","CON-081","CON-082","CON-083","CON-084","CON-085","CON-086","CON-087","CON-088","CON-089","CON-090","CON-091","CON-092","CON-093","CON-094","CON-095","CON-096","CON-097","CON-098","CON-099","CON-100","CON-101","CON-102","CON-103","CON-104","CON-105","CON-106","CON-107","CON-108","CON-109","CON-110","CON-111","DLF001","DLF002","DLF003","DLF004","DLF005","DLF006","DLF007","DLF008","DLF009","DLF010","DLF012","DLF013","DLF014","DLM001","DLM002","DLM003","DLM004","DLM005","DLM006","DLM007","DLM008","DLM009","DLM010","DLM011","DLM012","DLM013","DLM014","DLM015","DLM016","DLM017","DLM018","DLM019","DLM020","DLM021","DLM022","DLM023","DLM024","DLM027","DLM028","DOF002","DOF003","DOF004","DOF006","DOF007","DOF008","DOF009","DOF010","DOF011","DOF012","DOF013","DOF014","DOM001","DOM003","DOM005","DOM008","DOM010","DOM012","DOM013","DOM014","DOM015","DOM016","DOM017","DOM018","DOM019","DOM020","DOM021","DOM022","DOM023","DOM024","DOM025","DOM026","NLF001","NLF002","NLF005","NLF006","NLF007","NLF008","NLF009","NLF010","NLF011","NLF012","NLF013","NLF014","NLF015","NLM001","NLM002","NLM003","NLM004","NLM005","NLM006","NLM007","NLM008","NLM009","NLM010","NLM015","NLM016","NLM017","NLM021","NLM022","NLM023","NLM024","NLM025","NLM026","NLM027","NLM028","NLM029","NLM031","NLM032","NOF001","NOF002","NOF004","NOF005","NOF006","NOF007","NOF008","NOF009","NOF010","NOF011","NOF012","NOF013","NOF014","NOM001","NOM002","NOM004","NOM005","NOM007","NOM008","NOM009","NOM010","NOM012","NOM013","NOM014","NOM015","NOM016","NOM017","NOM018","NOM019","NOM020","NOM022","NOM023","NOM025","NOM026","NOM027","NOM028","NOM029","T2D-001","T2D-002","T2D-003","T2D-004","T2D-005","T2D-006","T2D-007","T2D-008","T2D-009","T2D-010","T2D-011","T2D-012","T2D-013","T2D-014","T2D-015","T2D-016","T2D-017","T2D-018","T2D-019","T2D-020","T2D-021","T2D-022","T2D-023","T2D-024","T2D-025","T2D-026","T2D-027","T2D-028","T2D-029","T2D-030","T2D-031","T2D-032","T2D-033","T2D-034","T2D-035","T2D-036","T2D-037","T2D-038","T2D-039","T2D-040","T2D-041","T2D-042","T2D-043","T2D-044","T2D-045","T2D-046","T2D-047","T2D-048","T2D-049","T2D-050","T2D-051","T2D-052","T2D-053","T2D-054","T2D-055","T2D-056","T2D-057","T2D-058","T2D-059","T2D-060","T2D-061","T2D-062","T2D-063","T2D-064","T2D-065","T2D-066","T2D-067","T2D-068","T2D-069","T2D-070","T2D-071","T2D-072","T2D-073","T2D-074","T2D-075","T2D-076","T2D-077","T2D-078","T2D-079","T2D-080","T2D-081","T2D-082","T2D-083","T2D-084","T2D-085","T2D-086","T2D-087","T2D-088","T2D-089","T2D-090","T2D-091","T2D-092","T2D-093","T2D-094","T2D-095","T2D-096","T2D-097","T2D-098","T2D-099","T2D-100","T2D-101","T2D-102","T2D-103","T2D-104","T2D-105","T2D-106","T2D-107","FeatureID"
"Roseburia inulinivorans",18337,844153,346484,469944,1173371,698752,6421,1034794,0,0,41904,1066788,0,853681,0,2500,179159,1387945,857936,416577,351957,510519,0,318159,40771,1536704,69786,660616,229,57612,882564,19070,212877,0,42481,2489819,29322,103534,0,222657,26152,307543,382213,298969,0,0,21178,7561,4050296,0,5241594,392308,506,39854,0,264023,1306285,700086,624390,0,152327,69340,114906,2263,3566753,2023391,0,729974,0,749395,2539,248900,162534,0,808006,1987848,6559364,3420191,0,0,1626660,150,182057,3501785,1060301,169870,0,0,396683,210557,0,0,304130,31213,360049,1193243,130576,205220,757244,8279,2570739,2831439,1920513,2085022,589773,1646048,1284976,2773,0,60005,174800,0,0,126516,679348,2338,239566,0,0,0,65666,0,95312,0,12253,703724,7444,28159,35093,19097,0,0,0,87376,2238,0,60539,128868,769340,217511,6120,4734,6627,2149751,1080819,5010,0,0,15813,851950,5006,72508,9029,0,0,0,1904,0,800958,0,29044,436042,1170,1952,63449,0,2370192,4903,35714,55187,138651,333716,804136,370078,54993,0,474394,1562539,128076,470211,12602,1549,73203,184914,80711,212880,123808,0,489980,725021,518217,650975,448113,348249,254080,623831,0,136,1770142,152492,39511,0,2221010,738926,0,0,375306,0,1078914,122205,0,0,203020,282651,3130,2844482,171131,6529,2929564,271609,4614,0,27142,770637,1843663,84381,200,1669,262183,7123,1157340,223800,1595,491635,0,377975,816498,0,35264,334013,99253,591242,781592,10422,545994,174906,5302066,162901,1156665,2491006,0,1952111,489768,0,0,979185,2075667,0,4421437,4112693,367767,55117,62315,150568,648068,13833,206470,0,33418,0,43341,0,300992,110185,0,0,239360,88635,263732,3243918,1410305,0,67933,0,0,184902,199088,7048455,392615,1925791,211326,220418,49549,240179,181025,1566879,2700449,4517405,432157,29421,0,0,0,3323750,8739,372312,131733,1799443,3390647,996893,238187,0,897,784109,723956,0,62781,278258,49331,550474,6071,209,0,71016,1811852,4927,197545,0,525764,0,1469,0,243745,3838359,140624,338737,9151820,1982472,0,44484,212865,409741,0,0,0,55727,0,0,1141909,911530,10628,23792,1043446,742,963490,0,0,0,301080,22907,524818,59217,4242262,"Roseburia inulinivorans"
"Roseburia hominis",18019,266814,3042,68712,138398,783852,5502,0,65091,181378,109535,0,0,6931,0,0,86200,1537,0,29106,226605,47521,0,21184,351970,64456,687,9998,0,68020,0,0,501365,975202,158428,153432,27643,187627,0,29947,33816,24249,214652,2187,0,0,1147424,0,67703,0,51785,70217,31628,13879,0,270661,0,9138,5449,278321,8775,25314,40147,0,0,8070,67349,29651,0,1023885,695852,111857,5959,0,19614,49731,0,56899,0,0,408116,13903,46798,299666,217601,0,0,0,53249,0,0,89757,24726,9677,0,1569301,102842,276491,2559,74501,24080,286,264751,0,0,6278,55921,6197,0,697570,0,0,8320,189517,34481,0,106069,0,0,2702,590583,0,0,0,441206,213277,0,0,3418,0,4119,808781,0,0,1851,0,0,20511,60202,47407,159421,63561,112965,0,9787,396162,0,0,0,655259,195987,12107,0,0,0,0,0,0,0,0,116104,257811,19388,0,347,0,0,7038,21335,7454,9195,26221,202934,27800,1705429,75366,205735,0,31703,132022,119532,0,242060,19707,76044,11705,307582,0,75495,0,0,0,3586,0,44613,302113,84393,4911,381297,0,1186,1009,81387,0,0,0,0,2422,115556,36109,0,0,81035,1031348,0,196231,91022,3468202,18265,59347,14926,0,33217,104264,0,125194,0,86125,257673,200461,1745008,228108,0,0,0,5781,32061,14285,60483,186458,0,436681,2217,16561,375914,179148,55398,30417,4445,6611,0,5082,10060,0,0,42176,191880,0,0,442898,149037,584086,16908,59694,493428,0,497269,0,10039,0,191325,0,18764,196998,0,0,279138,279516,95856,1994133,48804,3012,175030,0,0,271654,0,15585,77901,84803,26981,147902,3386,6359,0,259445,114774,82409,771733,0,0,0,1090,13408,36551,50862,57415,0,62198,7161,1388200,0,33076,19115,98899,0,55705,7050,0,15363,138093,39054,0,0,1103331,9437,0,4838,468993,0,25885,0,0,0,28524,321271,21531,0,0,62590,827341,0,0,10175,0,366878,0,0,165448,5568,67790,651229,0,0,7211,0,0,0,1226099,215078,3209,27238,0,"Roseburia hominis"
"Blautia wexlerae",14289,32806,24920,17156,97406,86376,6115,351666,80886,47113,14456,162198,515,12719,134172,303477,231293,23019,340413,744,1531851,18318,301924,16929,7286,26276,5316,34544,65869,4415,30727,1334,0,5491,42805,51110,17408,210598,39528,65880,24254,14958,49777,22020,225674,141658,21160,20009,160622,2452,9447,43376,22345,71372,19161,30064,0,51078,711,916846,5186,1926,12975,11128,1174078,26074,180023,18415,185715,11672,5683,23508,0,49590,3181,37111,12311,127273,0,0,21947,1681,23460,39204,104369,11773,110095,182637,47735,53575,21151,384391,2750,124177,124962,412595,2038,180021,5766,64312,87655,68684,13496,10930,8075,21111,30622,1127,0,1824,693,6055,10078,25640,75730,186632,15483,173113,0,36773,25577,11080161,117336,16781,15359,65905,118925,59461,17798,160495,256902,64319,0,134903,8605,78160,17789,28437,38690,38650,72088,16662,36728,173369,41223,41586,585397,0,174352,33877,4909,68273,219690,59658,278739,205604,7926,7446,119415,365828,85249,20666,108315,0,144352,21541,44619,33821,47520,41490,135337,29031,37183,99518,13665,18532,914,0,1567,30499,28899,167351,53728,3259,5888,32508,38366,437581,73333,137303,20273,71066,54119,77998,238481,28615,302441,1343,186020,37078,79015,170543,95605,3033,158912,46355,13204,763965,18828,36238,999100,1816,3234,201141,585788,476324,58829,61846,409986,8634,25617,2098,100686,11286,69618,91870,180358,39072,125131,145000,72857,22493,17340,198814,25020,168802,18450,0,1029796,51380,16220,94826,18719,29555,10273,101636,40368,20938,9412,30172,52520,5405,600260,208569,2293172,78132,91817,236985,143571,34970,21284,1153,11946,32300,45778,12208,687173,70248,49282,0,14348,2727,8245,11429,29400,0,5886,54972,41652,124653,122944,377916,117357,17970,49467,14401,7781,115721,243774,7540,25184,5645,664,58115,28566,154954,349811,291468,75992,48776,0,52050,9468,363669,43152,86892,5398,23494,29851,5248,145137,19342,44672,292661,63701,5289,93043,177413,386294,43140,18327,32207,14351,2638,15072,11734,9549,50770,42565,898378,41439,4136,121675,48862,160749,2872,36388,24590,0,22678,78677,1345,80236,1895,116335,81893,71173,0,4255,1120275,63058,57768,44056,36236,0,503000,0,76794,969,88616,13972,99950,419599,"Blautia wexlerae"
"[Clostridium] leptum",13967,8980,0,5834,1042,1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2418,0,0,0,0,0,0,0,718,12383,51756,2252,7492,0,0,0,0,4060,0,6681,748,3875,0,0,0,0,0,0,77,3009,0,0,15849,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,0,1153,393,0,7652,0,0,1472,272,0,12496,11122,0,0,0,0,0,0,0,0,9412,11662,44702,207113,8459,29386,0,1287,0,0,0,0,0,0,3553,0,0,0,0,0,15051,0,0,351,0,0,26986,0,0,0,0,1544,2716,6464,0,1615,0,494,0,0,0,0,0,14486,0,0,2854,0,0,0,0,480,104877,0,0,0,382,3295,0,196,0,0,0,0,0,0,0,0,0,897,0,0,0,61252,97558,2459,3435,0,0,0,0,28160,7447,0,0,0,4330,9653,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,3792,0,0,0,0,23652,0,0,0,0,0,0,13487,0,893,0,0,4838,0,0,2996,0,0,1932,374488,0,821,0,0,0,0,0,0,0,0,0,6072,0,72,0,0,0,13585,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,555,3593,0,11055,0,0,21521,0,0,0,0,0,12969,2918,5254,0,0,0,2603,0,0,1877,0,390,0,1643,0,1472,0,3812,9127,10580,0,4239,7285,1965,0,38522,27047,0,0,0,0,488,12851,0,0,3829,3159,0,0,0,36081,0,0,0,11285,0,0,0,0,426,0,7560,116826,0,0,13166,22113,0,0,0,1386,7588,0,0,0,0,0,33527,0,0,0,576173,3234,0,0,1213,2148,0,0,0,4260,0,0,0,"[Clostridium] leptum"
"Adlercreutzia equolifaciens",17458,0,0,0,6345,25648,0,0,0,0,7498,0,0,59546,0,0,4975,21132,0,9179,0,0,28664,0,25419,57660,0,11803,0,0,0,45974,3822,0,0,0,16233,0,0,1518,157942,258,14657,0,0,0,0,0,0,0,0,14490,59243,0,0,39689,0,35040,57866,0,14286,6821,4158,0,1002,27135,40559,12002,0,14983,15724,0,35334,0,27170,19280,0,26959,0,0,17006,690,12981,403,9499,0,0,0,0,0,0,0,1733,191347,0,0,26568,249024,14905,0,20114,0,7043,0,329,270,51507,1006,0,0,0,0,0,42994,0,0,4834,0,0,9940,1440,103,51916,0,3125,4604,0,0,0,0,0,72,0,330,0,0,0,16120,7664,0,2713,2419,24664,0,0,61795,0,0,0,8505,114009,30667,3256,0,0,0,4976,0,0,0,0,18094,0,0,0,0,11675,12202,8263,0,0,0,0,0,0,0,0,0,3591,0,142312,0,0,0,471,3730,11180,63,4602,0,370,4985,575,0,9246,0,0,0,2828,0,4559,0,0,0,13616,1200,0,0,4421,0,17951,0,0,50805,0,0,19979,0,5835,25644,0,14163,474,0,0,30018,0,0,9370,109415,0,2639,13075,2652,0,0,0,0,0,12398,12316,28559,0,0,904,35104,0,4327,0,0,0,0,0,0,0,0,228030,0,0,0,8555,0,0,2295,0,0,19306,8979,0,0,26259,0,0,10297,24301,0,7066,0,12260,0,4227,0,232713,0,1208,15894,0,0,97595,0,11343,22074,0,0,0,60663,44104,136650,103241,0,0,7865,0,0,75417,0,15956,0,0,0,0,0,25026,0,15926,29982,19549,28946,0,34945,64,52610,0,65391,0,20339,0,3734,6271,0,773,0,171592,0,11132,0,0,0,0,0,149821,486,5537,0,0,29086,0,1217,3274,8078,95224,0,0,15677,223374,0,0,56,0,35626,0,21857,169,"Adlercreutzia equolifaciens"
"Lawsonibacter asaccharolyticus",12832,1845,0,3052,18888,12560,3539,0,0,0,0,0,0,0,0,0,0,9067,0,11649,20717,43230,29604,0,3071,2516,0,0,0,0,0,0,0,0,0,0,0,0,23914,0,67367,5271,12415,0,20560,0,0,1441,0,0,3658,11247,2893,0,18219,2861,0,0,0,0,0,0,0,0,0,0,0,0,0,136,1339,0,0,0,823,0,0,0,0,0,0,1435,934,0,4219,0,0,0,0,0,0,0,370,11013,258,0,9806,42956,175,10252,3189,0,1964,0,0,0,0,10963,0,0,0,0,19760,3597,278,0,768,0,0,381,15492,0,960,0,11768,0,0,0,1151,2547,12745,0,0,0,1715,0,16854,0,11591,26322,0,0,0,0,134,0,8779,0,0,149,0,12623,0,0,0,0,0,0,0,0,0,3597,0,0,0,0,3962,5175,7734,7374,721,0,0,0,140,0,0,6017,13220,8707,4742,0,15195,1222,0,0,0,3651,0,0,0,1341,0,0,0,2472,0,0,0,4462,0,0,117,0,0,0,0,0,0,0,14221,0,0,4643,0,0,1978,9390,0,0,452,0,0,0,0,13373,0,0,0,8644,0,6444,0,0,0,0,0,6643,0,889,0,1239,0,0,0,0,0,5926,0,0,0,0,0,0,0,0,27658,0,0,0,0,3379,242,5977,0,0,0,3521,38571,0,4105,0,0,0,0,0,0,0,6651,0,750,1264,0,0,0,3360,0,0,38552,2345,6692,520,7822,0,1358,9812,2427,3713,1230,0,19011,2569,4928,0,10924,13866,6359,0,688,0,474,6649,0,1456,42803,15661,0,12957,0,909,0,30090,1548,8306,5605,6277,0,2111,0,0,47180,148,0,1298,7317,8542,4384,0,0,6940,0,0,0,0,20043,0,1201,0,2036,0,25941,0,8305,0,2742,316,0,0,0,10077,0,6336,8235,"Lawsonibacter asaccharolyticus"
"Parabacteroides acidifaciens",12007,0,0,0,0,97308,1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3035,0,0,0,0,0,0,0,0,0,0,0,0,0,1481,0,0,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2951,0,0,0,0,0,0,0,0,0,0,0,0,36719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7233,0,0,0,0,0,0,0,0,0,0,458,0,0,0,0,2403,0,0,0,0,0,0,0,0,11428,0,0,0,0,14257,0,0,0,"Parabacteroides acidifaciens"
"Firmicutes bacterium CAG:110",11971,17813,0,0,62023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7730,0,0,0,261608,9835,14777,0,0,0,0,0,32616,13242,255213,0,0,0,0,0,0,0,0,3492,0,0,0,6424,0,0,0,0,19173,23551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17957,2853,0,159946,0,0,0,0,0,0,0,0,0,2306,0,597,0,0,0,3625,0,0,0,0,0,0,0,0,0,1527,0,0,0,132198,0,0,0,0,69398,0,189767,3913,0,0,55427,0,0,0,0,0,0,0,0,0,0,0,5171,0,0,0,0,57807,23234,0,0,0,0,0,32650,0,0,0,18764,1263799,0,0,484043,15577,0,0,0,45735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235052,0,0,0,0,7226,0,0,0,0,0,0,0,0,0,15571,0,36334,0,0,0,0,0,22493,0,0,0,0,0,0,0,0,0,0,0,0,0,12237,0,14223,0,0,0,30363,3124580,0,0,1660,0,0,3789,0,520,0,0,0,0,0,0,0,0,0,729973,0,0,0,0,7866,0,0,0,0,0,0,0,3548,0,0,84222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28315,0,0,0,272429,0,0,0,0,0,2705,0,0,0,0,5286,152068,0,0,70916,0,0,0,0,0,0,0,0,25485,0,0,0,5681,0,3039,0,0,0,0,0,0,278338,0,164623,0,0,0,161588,0,0,0,1165218,0,0,0,0,105483,0,0,0,0,0,7691,0,75912,13820,0,1627625,0,0,0,0,5560,0,143939,0,2212,559238,0,0,0,0,0,0,0,0,0,0,57420,0,0,121233,0,0,0,0,131008,0,27467,0,"Firmicutes bacterium CAG:110"
"Pyramidobacter piscolens",10890,0,0,0,0,0,0,0,0,0,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371,0,0,0,0,0,0,59080,0,0,0,0,0,0,0,0,0,0,3019,0,0,0,0,0,0,0,0,0,0,0,0,862,0,39485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,0,0,0,0,5342,0,0,0,0,0,0,0,0,0,18499,0,0,0,2989,9796,0,43665,13056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3022,0,0,0,0,0,19497,0,0,0,0,0,0,0,0,0,0,449096,0,0,0,0,5843,0,62978,0,0,560567,0,199526,14925,101751,0,0,0,0,0,0,0,0,8017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93641,0,0,0,0,0,0,0,0,2449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4730,0,0,106628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5831,0,0,0,0,0,0,0,0,0,4365,0,0,0,0,0,0,0,0,0,"Pyramidobacter piscolens"
"Parabacteroides gordonii",9539,0,0,0,0,0,79444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452393,0,0,0,2779,0,0,819,87427,0,0,0,0,0,0,0,0,9822,0,0,0,0,0,9057,0,0,0,13361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,2555,0,0,7432,0,0,747,0,0,0,0,2134,0,0,38443,0,1825,0,0,0,0,9733,0,6619,0,0,0,0,8962,0,0,0,0,0,1736,1014,0,0,2483,972,0,0,0,0,0,8651,26783,0,414,0,0,0,0,2562,681324,0,0,0,0,27092,0,0,0,0,0,0,0,0,0,0,0,0,0,403679,0,1647,0,0,0,0,1075,591,0,957,0,7774,15715,0,0,0,0,0,0,0,0,1558,0,0,0,0,0,0,0,3227,0,0,0,0,0,34424,0,0,0,5005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3980,1654,0,0,5584,2367,0,0,9600,0,0,0,0,0,0,0,0,0,0,1599,58,3682,228,0,0,2861,0,0,0,0,0,0,640,0,0,52,131361,0,102,0,0,3160,0,0,0,257477,4320,0,32709,0,3132,0,0,0,0,5609,0,0,0,0,44784,0,0,0,52,0,0,0,0,0,3668,0,0,0,0,0,0,0,27717,17221,0,0,15261,0,8688,0,0,0,2038,0,0,0,6335,0,0,0,0,0,0,0,0,0,0,12247,0,4164,0,13139,926652,934,0,395,0,0,0,17949,0,0,10644,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,36817,0,7627,0,"Parabacteroides gordonii"
"Bacteroides nordii",9389,1874,4608,0,0,5281,0,0,0,0,325,136,0,0,0,0,0,0,2705,0,0,0,7906,0,0,4286,0,0,192,0,0,1771,0,1836,1557,79899,0,0,0,0,0,0,0,0,1811,0,40335,17337,1271,0,0,346,16949,1836,0,0,8786,97304,0,0,0,0,0,0,0,0,0,45911,0,0,15691,0,0,0,1383,0,0,0,0,0,1468,0,21375,0,0,18080,0,30442,7120,0,0,0,1331,79,8843,0,4511,2327,0,10569,0,0,1872,0,0,0,0,0,0,0,0,0,0,0,764,0,8821,0,0,487,5812,0,0,0,951,3675,13456,0,0,575,2070,0,0,0,86,0,0,22059,885,0,2096,0,2812,1867,0,6915,778,0,0,10096,0,0,783,0,0,0,249,1803,0,0,2736,0,3012,0,0,1142,0,0,933,9636,0,8170,835,0,0,96,63822,0,87,244,7966,0,8150,1778,0,0,0,0,13633,225,2708,0,1624,0,0,4323,0,0,0,3784,0,0,0,0,1022,2935,0,14916,7642,0,7603,0,0,14974,0,0,0,2210,0,216,1904,0,0,1641,0,106,75,47122,2824,4043,0,7172,0,0,0,0,0,0,0,0,0,0,684,0,0,0,0,0,837,532,3935,0,0,0,0,1739,0,4339,0,0,6472,0,0,518,0,0,0,2366,3366,0,8696,0,0,0,0,0,0,68071,22139,0,0,0,0,0,0,803,7197,88,1076,4020,7743,0,729,1939,4217,0,0,630,12144,0,4239,4609,281,8785,0,0,16949,0,0,0,11226,4649,0,0,1673,2813,0,86,0,979,0,27742,0,0,0,1030,0,0,0,0,46101,0,0,4244,695,11369,9375,42904,0,2219,0,0,0,0,0,2458,166,0,9733,8317,2550,0,783,0,0,0,0,0,0,54645,0,2738,0,"Bacteroides nordii"
"Anaerotruncus colihominis",8881,5860,0,0,24174,73717,13499,0,0,0,0,0,0,0,0,0,0,0,0,0,14691,1586,0,0,5588,2653,0,0,0,0,0,15211,0,420,0,4974,0,0,7598,0,66605,19263,35072,1341,0,0,0,0,2267,0,1772,18723,37718,3223,42799,337,0,2413,0,0,0,0,0,0,0,466,156304,12728,0,2335,11104,0,0,0,11227,0,0,4771,0,0,0,0,0,5752,11778,0,0,125084,580,0,1765,0,0,6952,1810,47224,33686,11261,890,86337,0,0,12406,0,0,0,0,0,0,0,0,45771,0,0,0,965,21005,0,0,30753,3204,0,28738,0,0,143,9268,0,3826,0,57318,0,0,0,0,0,36702,0,78145,11607,2505,0,0,0,4270,0,17878,0,0,29743,0,95174,1059,0,0,0,0,118097,0,0,0,30424,84612,0,0,644,12192,19207,12613,123518,0,4726,0,0,4028,2602,12751,25634,1722,3682,27129,0,0,0,0,0,0,6201,0,129,90,0,0,0,1898,0,0,1795,0,49952,23082,0,1222,0,0,14067,0,0,0,0,20208,4883,0,0,0,0,8041,0,0,27757,72769,0,278,3139,2413,1929,0,36533,23027,56671,0,913,0,0,0,0,730,4866,0,2657,0,37354,0,5837,0,0,0,8822,3985,0,0,0,0,2145,0,0,12738,0,0,0,347,0,0,0,1323,0,0,16501,11917,0,22976,0,2166,4508,388218,0,25670,19269,21001,0,0,273360,0,0,0,10914,0,613,16783,0,16933,20501,8916,12105,0,12036,3363,0,11402,0,3180,42105,0,0,0,159183,4914,0,0,0,25144,3957,294163,0,10577,81664,0,0,0,0,71145,344021,10398,3250,0,0,0,42833,0,0,26975,0,72325,5723,19777,959,0,60110,2651,9273,0,0,25768,0,129441,149196,27737,35800,1086,0,7356,0,5512,50755,44397,0,0,0,16053,113086,0,0,18642,"Anaerotruncus colihominis"
"Enterocloster citroniae",8303,8493,0,48884,9381,9862,16254,0,0,0,0,0,0,4679,0,0,3872,4371,0,0,4323,6662,21811,0,3344,1496,0,0,0,539,0,0,0,157,9610,10412,0,0,32074,1240,4297,2969,1465,9066,77269,0,3223,3818,6008,6837,9091,2545,29974,3831,70787,0,52909,4145,0,0,0,0,0,1007,0,541,118551,11888,0,0,27981,0,0,0,15090,2210,24790,6486,0,0,6504,0,0,9534,0,7530,0,8429,0,0,0,33915,0,16061,2443,0,13566,23841,0,36186,0,0,8746,0,0,0,0,3986,0,0,0,0,72066,0,6206,0,6271,0,0,0,7781,0,4435,0,0,2494,7327,0,2011,2756,14902,16336,0,6382,523,0,5209,3504,31009,12842,328,0,0,0,2262,2466,14915,0,0,5962,0,38255,11797,0,46007,0,5711,8022,0,0,0,23444,27122,0,46460,5501,37300,6049,16283,7415,0,4337,6851,0,2890,4308,37169,62785,3563,2798,22075,2558,3663,282,0,0,0,18232,1477,842,5233,1527,0,82019,5284,0,0,9354,0,72508,17952,0,8154,0,13672,1271,0,60841,98,0,76020,1578,0,5467,0,0,8392,0,0,5259,79932,5176,7529,7052,0,21901,23952,17977,2426,13065,14678,6629,0,0,0,0,0,1812,0,7342,5218,15731,0,6187,951,120,0,2216,15360,0,12269,3387,0,0,18837,0,13472,12614,0,7457,3856,2559,6583,5281,19024,25015,8049,55270,25075,0,7052,0,3900,0,19877,0,40752,14663,14848,5465,7181,15170,13616,18337,0,7395,33647,25453,0,15979,5246,315,3463,0,6099,22231,11567,8638,17317,0,41398,1465,257857,71962,6857,24191,19005,0,1629,29936,13008,15232,124626,0,0,99336,0,38297,36874,0,21635,58514,7129,25293,360,13360,0,4199,4488,0,5719,28192,3788,18688,6090,7404,27823,8265,0,55408,991,653,284989,0,0,102303,153414,67192,18233,0,12810,0,8480,34918,0,110377,0,588,0,12024,0,19027,19960,"Enterocloster citroniae"
