"","SID31004","SID31009","SID31021","SID31030","SID31071","SID31112","SID31129","SID31137","SID31159","SID31160","SID31188","SID31219","SID31223","SID31233","SID31236","SID31237","SID31256","SID31267","SID31275","SID31276","SID31282","SID31285","SID31300","SID31328","SID31333","SID31337","SID31343","SID31360","SID31367","SID31379","SID31398","SID31416","SID31424","SID31428","SID31431","SID31446","SID31449","SID31450","SID31452","SID31455","SID31477","SID31489","SID31493","SID31501","SID31512","SID31519","SID31537","SID31549","SID31557","SID31582","SID31637","SID31685","SID31700","SID31705","SID31711","SID31714","SID31723","SID31749","SID31750","SID31766","SID31865","SID31866","SID31868","SID31870","SID31871","SID31872","SID31873","SID31874","SID31875","SID31876","SID31877","SID31878","SID31879","SID31880","SID31881","SID31883","SID31884","SID530002","SID530018","SID530026","SID530028","SID530039","SID530041","SID530050","SID530052","SID530054","SID530055","SID530074","SID530075","SID530119","SID530142","SID530154","SID530163","SID530167","SID530168","SID530172","SID530177","SID530185","SID530215","SID530227","SID530251","SID530258","SID530262","SID530295","SID530297","SID530315","SID530323","SID530331","SID530348","SID530364","SID530368","SID530373","SID530394","SID530398","SID530403","SID530444","SID530450","SID530451","SID530558","SID530600","SID530623","SID530697","SID530705","SID530743","SID530756","SID530840","SID530867","SID530890","SID531128","SID531155","SID531248","SID531274","SID531277","SID531281","SID531333","SID531352","SID531361","SID531382","SID531403","SID531414","SID531416","SID531424","SID531469","SID531663","SID531766","SID531775","SID532305","SID532749","SID532779","SID532796","SID532802","SID532826","SID532832","SID532915","FeatureID"
"Fusicatenibacter saccharivorans",1464226,3486739,469936,935902,4565276,0,736423,319,119391,2896203,2705152,1045040,184707,6307564,2018014,550735,3312190,1938918,74570,178176,4154628,819069,489638,1441515,3320957,0,164537,2609927,327204,2007071,900822,0,7503955,2318169,820313,274075,3015014,0,510185,1731815,357167,546046,676582,0,1989214,1487860,190440,592843,0,774707,1344021,70859,2413034,701263,69,850894,386032,3279001,1488261,4688806,592285,315409,315510,0,1965175,561652,214057,356796,1627263,240018,1778179,1304914,308872,1142146,616790,1219880,43146,13889195,4337063,399708,1174515,3235212,997700,321271,0,623708,1866656,2404922,1371159,6046,1232995,0,1809598,447594,1395989,1200720,3165447,1044234,1451811,65411,0,4120366,592102,326955,3887106,2135923,126477,2246484,56958,2329112,2213371,794820,876897,885224,4153521,859623,589562,320067,268608,940732,543626,3473672,2459121,257833,1759213,103592,792844,1867332,136579,970380,109963,21717,1383030,735122,978432,38464,126308,53528,602,996412,1312408,4072,1406041,1336497,397090,1807641,100728,936448,450536,704788,302608,728690,347842,339715,"Fusicatenibacter saccharivorans"
"Coprococcus comes",1103973,2254546,1302948,613568,574132,0,541789,1596,623,2047136,1443895,1299860,1711,1865620,0,315451,4553463,516769,336970,257633,1590208,696662,712282,1003056,713150,0,48242,1201257,54020,2006503,413438,434459,2062112,578903,444595,695738,1449991,0,424206,552759,1786480,837950,141153,0,1658983,1196112,880374,208994,0,1348010,292297,21512,1289172,17895,0,1416929,385583,2161465,2451535,718022,1424,418313,195197,2032,3922486,334319,435105,244302,425892,694652,534355,533794,244570,783603,59416,1445613,693277,2008156,2203702,1073922,464931,139879,45572,70797,451739,321518,1252724,396759,591872,786544,126247,0,0,31460,825653,1440362,232532,1002399,75630,22009,0,1720892,1059528,347246,736069,127342,1183171,608308,135565,7160,691483,0,1462598,351751,3715994,667435,757180,1373196,712218,424981,970723,0,1125251,341370,0,212275,774456,2269387,150802,4583,192926,24644,773953,0,0,2517499,146606,17983,771,338970,48916,31533,180627,647982,208877,139989,0,2623110,324076,743120,752936,0,575301,645568,"Coprococcus comes"
"[Ruminococcus] torques",1022454,644249,1993786,1389107,2657206,0,380890,3064592,520677,32776,210410,581054,107189,4583136,701206,201412,3673691,537563,904792,699790,686883,370555,150762,1330191,700162,0,117975,841756,91925,139142,70255,0,2477797,1574307,64460,10552662,2916430,0,91103,382429,1241223,2428038,6298625,0,453588,2743663,25941,4404132,2247952,522435,0,993739,1078586,1357927,0,331290,1308780,1120109,1017902,728177,2833225,1411966,1004816,7835,210133,5397,765034,158662,253499,243730,14350,804092,582833,463337,2059089,54102,210215,3108174,3000521,3246566,89402,7052240,24503,95744,0,681597,0,1550129,375734,1396616,618963,0,676334,0,3587018,638566,0,123167,799058,865,0,668427,1919680,9247,784301,64595,2021015,186176,1615093,553814,1516170,295,632577,879138,2431106,2236320,822428,151372,439722,334924,305732,797921,1035,192095,4152673,55059,384636,3098062,279636,4277627,177614,4905,1716917,3789123,4521,278778,769876,0,1477,507928,288221,54089,217298,488786,1372426,5612541,0,2265559,110759,108912,134492,0,131097,984003,"[Ruminococcus] torques"
"Anaerobutyricum hallii",955590,1964061,1818957,1050712,1761412,0,1674406,287,180284,3411416,2308086,310359,71015,2664704,237,6857420,1831844,718986,480627,2307016,1126349,221306,888556,1042814,1263143,0,679959,2859810,289325,4448718,8342481,6730502,3136243,201198,588919,152845,1177292,65515,1362083,787224,786682,862415,1823471,0,2672370,1570820,4498411,6533982,1675173,1543025,2576070,442757,782063,48307,2811,1781015,113297,2683348,2149771,1457173,2497418,1672937,524653,3460309,4413920,5153012,405393,191844,1694220,388317,510768,571479,689435,1129942,1332126,7104,164230,5225971,1984615,649736,1311355,4389986,1000010,534312,213554,561092,163801,2439607,694229,1205665,1278331,1064157,5662639,3719643,1297400,2577535,4682793,447231,2192718,279717,0,536142,1759067,733424,1248058,1559925,2967011,304955,280638,1169318,1243216,825637,342653,879723,5026871,4982442,1467101,158723,247867,600783,74364,1568998,245764,244936,69,458771,212509,1629507,363651,1664549,176485,4429,373042,645500,5684919,46682,72184,2988,0,440660,1734325,8509,515938,238469,183904,62592,22070,4050461,94280,727190,120248,917688,437758,963670,"Anaerobutyricum hallii"
"Holdemanella biformis",918581,0,0,0,0,0,0,951,1525,26849,728960,0,11246,5152601,0,0,0,2223841,0,574,862579,0,0,0,207890,0,0,982456,0,28545,723845,0,0,0,6048,2711859,679,0,46127,0,201563,0,596484,0,9957,0,0,2406,0,26641,0,0,1666162,0,0,0,0,0,4636983,0,1381,421,10320,0,0,0,1994134,9142,2839378,0,0,29180,72675,0,133589,514743,0,1592706,41591,976475,1602760,0,1222475,0,0,0,0,0,49493,0,0,0,145435,0,48966,0,0,0,125576,0,0,0,51837,43264,0,0,0,479200,1645,0,0,1821845,0,266,68977,307180,574,260940,0,0,760430,196831,0,0,0,684428,0,28983,127082,0,22595,5833,0,0,0,0,5425,642,0,0,0,0,941,0,0,0,0,0,0,0,221248,0,0,0,"Holdemanella biformis"
"Bacteroides uniformis",865650,2865046,0,283115,81004,27523,757,0,20776,284282,1430155,584060,126753,47367,109843,1156,110780,51698,86430,50240,627853,5672212,935757,900448,105902,40959,814858,4172724,191866,1380514,763088,38521,43510,0,1545404,2259,501804,1084302,378121,330558,9432,276753,65596,1769740,35844,441605,62067,302309,25818,12745,7789,298782,139139,2542,0,237,100545,533278,821565,277072,94820,1445793,637489,512,46857,775857,570787,5812807,931609,2866832,6473849,2361546,684468,4337208,614005,497721,469234,11162,0,34368,1794181,1853,282263,3936278,24652,575758,814006,49108,940692,29530,277150,0,216250,884178,1609352,0,253703,3634097,26634,0,0,522703,122375,741452,342689,73355,28056,678670,989,813996,376527,0,5485558,45686,3523,0,49094,324802,2306253,2172759,2420845,1065656,4373606,501074,0,1000963,2271346,750178,962278,291429,591538,28296,1821931,139355,396373,2784249,369918,7728447,3536,591266,2070482,2490824,453720,4175530,7436955,15716,3484627,692383,2474972,1288268,711928,56695,1667321,4294117,"Bacteroides uniformis"
"Blautia wexlerae",847266,103598,483584,491947,95850,0,752888,24628891,28315,379449,18367,344226,55774,165345,60511,709376,521802,90149,19520,416812,215565,38211,93800,146340,371667,4144130,9233,814074,3704492,430691,303456,462222,2807332,2166569,19284,368955,1031445,261698,8537,57539,113680,53997,433398,37825147,1777050,152702,449,276052,2464252,80061,3738772,0,79921,16669,24267654,4285123,101892,69888,185899,79130,6265074,71578,862634,91648,880149,1668019,24351,7602,664950,66722,181023,66902,76322,9995,55920,1524158,36348,2568832,37768,63065,336557,1971467,23137,317576,467726,41222,129458,260823,114140,63733,379320,6048742,11425841,124763,517977,5860175,136404,47894,59483,5192939,1142632,237273,553071,1009,105333,285100,371239,351899,450,1495933,565789,196353,30680,252707,1353979,4149184,1462341,506807,3594484,233891,145782,509884,5177218,1688884,2091804,111655,30913,109406,35116,661306,44196,11303,56295,316246,1097825,1887317,92178,28654,661,379114,1353269,5468,866963,177290,2003,1018977,589323,986347,43028,77458,61590,2419787,72587,26091,"Blautia wexlerae"
"Gemmiger formicilis",831635,152908,949149,106420,505019,0,69868,0,3222,500662,13415,741377,158016,124278,26860,255286,1007639,506160,118995,296227,238287,429260,237817,205069,97596,22436,0,251126,136595,2580,129528,0,956027,8769,268907,554727,74718,0,198075,240315,169782,85023,132295,0,261449,159404,0,519202,0,252729,283,1084,142576,3182,0,67646,42443,819469,153806,476508,504725,428095,178549,0,482015,1402602,58735,252003,616714,133456,370056,218757,213847,145175,311512,240470,88100,3489583,72684,146020,223570,0,55520,170109,0,74826,78605,0,264988,338462,602338,0,7280,1710309,569784,676817,0,360617,33597,0,0,376632,60316,259838,503563,42146,98446,408101,0,194901,6099,40152,114908,149900,313092,1947978,0,449003,992824,568602,113802,154284,6367,16960,0,25446,75648,45409,124320,659954,92894,5086,137420,847736,3083,0,38144,47232,0,504362,359716,0,2008,3840,59588,226,84138,0,47417,2131935,292292,230,232361,282667,"Gemmiger formicilis"
"Dorea formicigenerans",793587,489681,396059,145659,549593,0,502004,0,358484,427441,89193,186845,75817,956438,0,1328943,1293712,236158,259315,424277,377559,92094,269857,775921,435319,0,107225,649195,203814,1081996,475117,1107987,1149692,244919,132351,501704,382491,59936,272617,516849,210160,526853,1460005,0,1403809,365550,0,1032514,0,484276,0,498935,229997,33678,0,441433,590932,143768,271540,336322,1251964,185240,92775,586799,601773,0,545970,129301,751037,0,42857,240710,227768,63338,392278,208247,109072,465251,1039752,566396,326711,716242,300302,224857,484921,256164,142193,172815,549832,365017,203305,0,783678,0,589692,1342751,505284,357222,241925,15967,0,517037,127092,231979,97273,430319,1034094,272057,75218,444941,385012,235341,77036,298576,772325,685759,117090,248803,209058,131460,157853,860575,227065,145496,0,24925,110660,315974,260160,1542347,104899,5976,835975,727645,483931,2403,37934,0,0,44955,367495,100190,265155,154621,165337,309320,0,0,149585,108184,91419,1487445,83758,439029,"Dorea formicigenerans"
"Streptococcus parasanguinis",773363,49654,29082,20341,155940,33506,11350,11097,72626,25543,1470,30388,0,9007,0,1545,208307,19181,0,5552,9113,3186,55261,666344,2370,108196,773358,9154,313335,378117,1571903,38313,46972,10905,82132,653004,142998,0,47084,67424,62916,3148,79930,24889,2054,88756,259868,5357,1312909,175708,42995,1501,165450,579595,147327,37753,20164,26648,19580,17483,36032,62944,71467,216693,4044,37910,0,6444,1195,430194,5770,3074,1074,1395598,25890,89566,0,8968,17897,9303,8862,0,161,1579184,8850,38388,161,38483,41636,107674,15030,316675,524064,61872,31414,59465,40793,63339,10793,0,32525,115833,64284,11469,43056,33930,0,12170,222507,5111,140383,60945,8684,20714,245503,30638,35002,76696,1741,0,0,77945,217964,71481,6385,42228,5344,142140,121962,38007,135834,55265,2721,146686,15761,7184,4428,21688,13154,10967,27473,71282,9056,0,2620,21199,1607,22433,0,53734,12353,37350,11023,1826,"Streptococcus parasanguinis"
"Coprococcus eutactus",766607,0,0,0,0,0,0,2066,2674,212773,7146,1534143,0,358770,0,0,0,0,0,1057266,0,2216812,0,373080,0,0,0,0,0,0,893216,0,0,0,10121309,0,0,0,7027734,2864713,3383288,572198,0,0,0,0,0,0,0,69124,1744,1570235,81939,0,122,0,6424,85,7017499,0,0,0,0,3623,0,0,0,0,4164577,0,0,10715,0,9026,0,32003,393359,5364,0,38466,0,0,191485,0,0,1860177,383625,0,286479,7550,769,0,0,0,4407,2071,0,4206,1289741,0,0,0,178,0,602154,0,0,3013,0,0,0,0,976249,929,53993,0,0,952097,2651,1734554,0,15156493,0,2809,0,449923,48056,271262,0,0,2235524,430,0,0,0,0,0,0,0,0,0,0,0,13147,3143,0,0,0,0,0,19757,0,0,1619216,"Coprococcus eutactus"
"[Ruminococcus] lactaris",582912,670421,195,0,1541579,0,0,0,0,0,0,290114,29416,15159,142104,0,0,116892,0,165842,1541375,1194226,160873,1095101,48778,0,0,24889,56631,0,0,2837,0,129635,0,659381,116343,184706,0,90533,0,56687,51345,0,388842,0,0,39110,0,177443,0,0,0,0,0,0,1327,16403,730799,544801,57356,26744,603474,0,0,1063748,0,201726,0,215507,1062134,0,275130,0,149322,5885,0,0,37400,0,225913,0,0,30631,0,565370,136027,15437,23011,0,1078565,2279036,0,0,41277,221479,906380,148899,4145,10349,0,830319,0,453592,0,1684,68472,718966,0,956514,75362,0,631372,84452,247381,0,3563,74243,196631,0,327193,0,532375,120921,0,0,1134428,1158080,0,974952,0,0,0,575445,956604,0,1212731,0,0,451797,9939,0,1011730,339180,0,881,262321,716480,715548,92697,28074,840825,289842,0,"[Ruminococcus] lactaris"
"Coprococcus catus",438254,1347274,409330,189124,387248,0,383114,0,0,1042,366512,326622,408724,848125,691900,728876,751170,1637415,226414,717258,417868,1061291,257519,579803,12464,0,4380,237344,11412,389034,98146,0,350790,268520,289886,214586,1139617,0,282358,178987,171275,799256,185343,0,302313,717796,0,438644,11896,331440,0,1081839,278657,14515,0,62878,103093,0,670235,372456,0,275750,15003,697,130382,0,368406,108176,295649,97281,718,211378,387386,127086,648961,11821,557797,269791,86793,81584,415763,233434,75564,123823,0,265091,372133,0,187736,1773651,538446,856824,0,418141,127328,680204,12718,435488,262180,0,0,807212,396427,65764,767104,372382,205975,0,0,0,314713,191447,79660,288758,74922,2709,128527,592416,0,84491,154140,523657,0,138788,0,61235,255002,537473,0,0,128208,0,52002,565533,165452,22398,0,0,0,208652,3789,8665,0,0,134581,0,0,0,40196,169667,58558,75789,78451,195079,"Coprococcus catus"
"Roseburia intestinalis",429244,702688,817523,278548,949479,0,34298,0,0,60120,0,29107,13806,7457,267246,181085,241504,0,8466,0,3162433,508696,122789,8072,53199,42504,0,0,0,40837,62509,0,2152,362121,35469,0,83748,0,217927,56713,28700,97040,0,0,92431,408441,88462,33430,44,1433,181,37585,217807,0,0,5461,6827,17875,25695,364287,474331,21619,6374,0,64496,0,17814,909718,184437,39336,353907,156615,1477,2601,201251,14892,9467,84685,561,47629,361270,0,33935,883197,0,62045,990501,56454,630510,620,36049,4368763,314,520807,1842803,10532,0,0,8580,16950,2295741,0,675036,1656,0,0,13453,362834,0,147505,104165,114941,70070,3241,4713,241668,886,39640,3006722,6411,779205,1582,961618,318604,33986,114866,6276,1607021,0,388652,87190,0,717023,1848495,0,110476,0,32109,0,995293,7146,0,808864,66566,0,0,484380,0,104809,608618,704715,338183,1165075,53885,"Roseburia intestinalis"
"Roseburia inulinivorans",335497,310978,381348,2273446,410670,1460438,628,0,8844,106120,72071,416006,4931,4639,93540,536424,2409,178951,38265,10748,1270123,274921,57973,168442,601101,1056,10072,681279,6127,1032449,1126035,0,17540,184531,8481,507502,45973,23961,55831,64081,90336,33432,32711,0,9787,8888,0,68165,0,18076,1806,108230,1098742,72,0,219,13145,520922,403107,167189,33270,64533,40868,0,14174,21358,374875,899042,602506,31285,98749,484556,3842,1242073,724530,2061126,1202,120551,7716,5262,755528,15271,10947,385414,6267,240504,113989,17475,272767,47455,955716,2144,18544,65005,237986,133435,29778,38386,44159,0,2688,83444,800829,60208,430583,4991,49921,1083008,0,557772,24439,5889,177014,3774,13087,280718,0,78991,261646,43973,5484,43958,1137601,0,0,14454,746445,621664,289936,312202,60057,24259,702403,615441,82703,51921,50130,0,997,133396,104365,0,1721645,264253,1482061,0,349591,31880,7237,27360,2144388,94293,2742746,27185,"Roseburia inulinivorans"
