"","CA01","CA02","CA03","CA04","CA05","CA06","CA08","CA12","CA13","CA14","CA15","CA16","CA17","CA18","CA19","CA20","CA21","CA22","CA23","CA24","CA25","CA26","CA27","CA28","CA29","CA30","CA31","CA32","CA33","CA34","CA35","CA36","CA37","CA38","CA39","CA40","CA41","FeatureID"
"Parvimonas micra",2065,0,0,0,0,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Parvimonas micra"
"Faecalibacterium prausnitzii",1693,1057575,4287780,8838604,1780028,1158289,205092,6436166,2417330,2019919,4328559,6224217,14499578,1100700,6616699,6637426,2260,24348,11540248,686715,5431655,1590,2115491,10829327,450663,7111641,0,832928,4250035,3723547,8048627,9428,6369,145340,12243463,9024114,6595869,"Faecalibacterium prausnitzii"
"[Eubacterium] sulci",1685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19953,0,0,1496,0,"[Eubacterium] sulci"
"Firmicutes bacterium CAG:145",1448,39117,0,0,34359,739485,0,23574,4784,1899,0,364,4865,0,0,13778,0,0,0,0,0,6780,0,30435,13653,0,0,0,15307,0,0,0,0,0,0,39955,0,"Firmicutes bacterium CAG:145"
"Sellimonas intestinalis",1322,0,0,0,269772,75272,1468,961,0,0,0,0,0,0,367890,0,0,7494,0,0,0,1335785,54201,0,49338,0,0,0,0,24331,61798,0,0,1267,0,0,0,"Sellimonas intestinalis"
"Phascolarctobacterium succinatutens",1242,0,0,0,0,0,0,2356873,1719537,1776656,1955609,0,2543313,390162,0,0,0,199294,0,0,319522,0,0,314931,0,0,0,0,0,141636,0,1781535,0,1776929,999697,49086,107430,"Phascolarctobacterium succinatutens"
"Eisenbergiella tayi",992,67660,648,0,44083,14279,0,5704,80708,77134,0,0,0,23819,0,0,0,5390,0,9219,1170,0,0,1433,799849,0,0,0,5160,4161,0,0,0,0,920,30423,0,"Eisenbergiella tayi"
"Gemella sanguinis",781,1190,0,0,0,4656,0,2203,0,0,0,0,0,0,0,0,17885,913,12512,0,40251,0,2867,0,0,0,0,0,0,7316,0,6247,6228,0,0,0,0,"Gemella sanguinis"
"Sharpea azabuensis",709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sharpea azabuensis"
"Prevotella stercorea",481,0,20323623,834,243,813,78,0,0,0,0,0,0,0,0,0,0,0,0,84078,0,0,0,3975,0,0,0,0,0,0,0,0,130392,13948152,1535265,0,193,"Prevotella stercorea"
"Streptococcus gordonii",376,1135,0,0,0,1412,0,0,0,0,0,0,0,0,0,3954,14628,8022,54368,0,6450,0,17731,0,0,2181,10165,33574,0,0,1640,0,2158,1379,0,0,0,"Streptococcus gordonii"
"Mogibacterium timidum",317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mogibacterium timidum"
"Anaerofustis stercorihominis",249,0,0,0,0,10048,0,0,0,0,0,0,0,3599,0,0,0,0,0,14115,0,0,0,0,0,0,0,0,0,0,0,3943,0,0,0,0,0,"Anaerofustis stercorihominis"
"Romboutsia ilealis",236,0,0,0,0,0,0,0,1961,1587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Romboutsia ilealis"
"Firmicutes bacterium CAG:83",0,6515172,150633,75549,843575,0,64500,0,170058,150639,0,364392,1747379,8044,570685,0,0,0,12033,144464,3423385,1844,1065649,219322,0,16079,0,1678,43828,92006,295540,146006,1210806,132926,416982,123111,3287,"Firmicutes bacterium CAG:83"
"Bifidobacterium adolescentis",0,929194,281698,590189,3957644,0,39367,35334,0,0,809,1674770,553348,0,0,440105,0,1451368,0,14327,170097,0,0,0,0,639482,470171,2680489,1817174,465376,2243374,0,0,0,0,521910,3133750,"Bifidobacterium adolescentis"
"Roseburia faecis",0,799550,1417418,2148203,299978,1444055,0,246945,746666,903257,156756,152588,2675816,101268,1284058,2438675,0,1846546,0,784675,34741,0,0,1548433,87711,1529391,0,1659102,456249,8004952,1988822,0,961380,3990248,3823799,0,171725,"Roseburia faecis"
"[Eubacterium] siraeum",0,796530,455730,12523318,920420,1161524,0,0,3331290,3873901,26836,230,25341,1884920,0,0,0,0,0,529181,0,0,11648,133550,35507,0,0,0,97485,0,15752,0,0,0,40225,100902,0,"[Eubacterium] siraeum"
"Lawsonibacter asaccharolyticus",0,596156,0,189618,30733,4138533,2796,6023,22915,19714,56956,839,1409,87573,28090,38752,0,213,0,9697,11205,136777,0,70947,44304,13435,0,441,5089,2096,80944,363829,15470,0,7101,0,0,"Lawsonibacter asaccharolyticus"
"Eubacterium ramulus",0,361834,209301,220585,2196,0,128612,0,0,0,189244,63219,58839,65700,1240876,128849,0,0,163896,41794,256976,0,14285,0,17204,410285,0,233507,0,0,102279,0,6676505,61304,35583,882608,62996,"Eubacterium ramulus"
"Firmicutes bacterium CAG:94",0,180554,0,0,70941,35769,0,0,0,0,0,43812,0,75479,0,5221,3144134,5139,0,0,0,0,0,0,0,0,0,0,16542,0,38395,0,0,0,140881,0,0,"Firmicutes bacterium CAG:94"
"Roseburia intestinalis",0,177264,247735,116496,1192,0,207256,16923,62683,66438,633276,11938,97383,0,0,33591,0,439661,225100,0,109628,0,0,381528,0,67385,0,102465,19726,203737,0,0,1557026,812646,366848,79563,104818,"Roseburia intestinalis"
"Roseburia hominis",0,162723,65203,58174,12154,0,0,655323,53816,46283,96602,5141,203212,119186,379414,238461,0,1418,65024,51453,561159,0,305561,133190,140921,14201,0,5460,37531,23273,66952,0,0,0,319282,53101,27228,"Roseburia hominis"
"Clostridium sp. CAG:299",0,156207,0,0,0,0,0,0,0,0,0,27095,0,0,0,7345,0,290092,0,7674,0,0,0,26261,0,179839,0,0,0,0,41862,0,0,0,0,17904,576,"Clostridium sp. CAG:299"
"[Clostridium] symbiosum",0,152098,0,0,7033,75290,0,6675,13066,8356,0,0,0,3104,30072,1817,268847,1951,113975,0,1595,2643925,689,1068,59078,1713,154476,45338,0,0,2297,180746,158262,0,15950,1070,0,"[Clostridium] symbiosum"
"[Clostridium] leptum",0,125136,2985,32812,146837,30542,12745,8725,58420,49030,10474,34430,12575,75517,588051,11078,924713,368030,0,71586,14198,2968747,83805,104396,53993,0,0,0,38064,15473,26206,15288,425717,0,319156,143961,15953,"[Clostridium] leptum"
"[Ruminococcus] lactaris",0,112581,1339264,42159,362122,0,0,0,771460,977486,0,14986,0,2071767,1420414,382913,0,0,0,0,0,0,16376,1217467,249085,245014,0,0,0,0,0,0,0,0,0,0,4779,"[Ruminococcus] lactaris"
"Bacteroides caccae",0,108303,863806,364572,136578,76684,320260,49973,115399,128355,135063,5967,606,305563,0,0,0,1303412,182123,616050,53761,583870,1006,0,2645030,130734,0,399493,169841,152460,242145,0,274565,0,91165,0,0,"Bacteroides caccae"
"Enterocloster clostridioformis",0,97632,0,0,31111,101263,0,0,0,0,0,0,0,0,34661,0,220647,468,2176,540,0,750585,1930,1091,0,0,1377449,0,0,0,0,116144,19010,1994,0,8083,0,"Enterocloster clostridioformis"
"Dialister invisus",0,79503,276167,110770,21063,13635,0,0,0,0,0,257434,0,0,0,0,290931,0,0,0,0,0,2285546,0,0,0,21730,34533,0,0,23764,0,0,0,0,0,0,"Dialister invisus"
"Coprobacillus cateniformis",0,78855,0,0,14786,0,0,0,0,0,0,0,0,0,0,0,1324965,0,0,215025,0,2271,0,68936,97716,11121,0,0,117469,0,1483,0,0,814,0,0,0,"Coprobacillus cateniformis"
"Lachnospira pectinoschiza",0,73864,0,1434552,0,0,0,0,0,0,41360,0,41296,0,0,87392,0,0,0,0,83036,0,44818,546710,0,17301,0,0,5752,66593,0,0,0,667042,693742,0,0,"Lachnospira pectinoschiza"
"Parabacteroides merdae",0,67201,644491,541860,135498,24410,142602,169411,256332,200513,31850,0,99125,339040,191271,573821,32958,78406,49413,151279,140478,748709,5215,11663,1137464,221998,48233,133087,62675,126536,302334,158136,161635,60704,305090,1781,275,"Parabacteroides merdae"
"Holdemania filiformis",0,63602,3452,1142,535,66106,1981,10857,3173,3965,7543,1317,11090,0,0,0,0,10585,45370,15440,0,0,1204,57750,0,0,0,0,22623,31580,0,63183,31015,9743,0,62249,13813,"Holdemania filiformis"
"Barnesiella intestinihominis",0,62738,0,0,0,0,484875,57947,0,0,0,0,159263,503058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112012,277493,0,0,0,0,0,0,836,"Barnesiella intestinihominis"
"Hungatella hathewayi",0,56355,0,1300,6637,29793,2831,0,3372,9847,0,0,0,2907,26824,0,950792,2470,13431,22014,291,75604,0,351,42185,2527,34252,0,57351,7174,609,5383,149624,2727,0,0,0,"Hungatella hathewayi"
"Lachnospira eligens",0,52720,104796,754440,0,0,0,124139,5606,13088,0,0,16987,187,1683979,797962,0,0,0,0,90388,0,65986,80599,0,0,0,18825,125260,470095,0,0,0,0,239773,0,0,"Lachnospira eligens"
"Firmicutes bacterium CAG:424",0,51888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,44576,0,"Firmicutes bacterium CAG:424"
"Bacteroides uniformis",0,24632,1059097,802889,460242,243910,2213257,29226,365070,337829,90773,139872,77841,692735,1467878,1774335,421754,251749,220710,635602,145572,42406,6681,419622,4934110,235945,205956,1249390,210410,96344,503070,27525,128073,2407651,2080851,7466,8184,"Bacteroides uniformis"
"Intestinimonas butyriciproducens",0,23731,0,4552,72912,0,0,4372,296625,257286,0,0,0,9481,0,0,1048922,0,0,0,0,45672,0,0,8618,0,0,0,0,0,0,0,407,0,517,0,0,"Intestinimonas butyriciproducens"
"Anaerotruncus colihominis",0,22196,8989,0,49280,158855,484,1456,0,0,0,0,0,0,13288,0,171407,130,0,243459,2277,938868,345,1059,260203,0,0,0,0,1097,2056,4142,31866,0,5121,17272,0,"Anaerotruncus colihominis"
"Christensenella minuta",0,21029,0,0,0,100591,0,0,0,0,0,0,0,5127,6859,0,0,0,0,60012,0,0,0,0,0,0,0,0,0,0,0,3363,0,0,2068,0,0,"Christensenella minuta"
"Enterocloster citroniae",0,19572,3035,3387,0,10441,3466,2959,1591,1026,1891,0,0,3215,11542,0,67646,17540,2353,0,2616,46029,0,8094,2028,0,456396,1007,0,12134,1320,77021,0,0,1061,0,0,"Enterocloster citroniae"
"Gemmiger formicilis",0,19513,26571,111455,27776,0,0,62704,55189,45449,3284,252826,69208,38033,0,175092,0,185,8348,8069,112574,0,28906,114043,6650,29442,0,117085,64589,0,76224,0,0,46510,56218,0,191880,"Gemmiger formicilis"
"Enterocloster asparagiformis",0,14481,0,0,52619,17208,0,1817,0,0,7426,0,0,0,0,1860,0,14371,0,0,0,0,0,1854,35974,0,0,0,2117,26215,0,0,0,0,9594,0,0,"Enterocloster asparagiformis"
"Enterocloster bolteae",0,12431,0,0,0,2422,119922,12393,0,0,68608,0,0,11547,21635,0,287007,0,14507,56370,1838,864691,942,9791,30184,971,87022,7364,4956,24878,2429,214352,149525,119958,931,8878,0,"Enterocloster bolteae"
"Ruminococcaceae bacterium D16",0,11751,0,0,3303,47897,0,57509,4399,2373,0,0,0,106549,52578,0,0,0,0,64863,0,541318,7228,0,465565,0,230983,14526,0,0,0,115253,173511,0,14366,0,0,"Ruminococcaceae bacterium D16"
"Lactobacillus johnsonii",0,11254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lactobacillus johnsonii"
"Clostridium sp. CAG:167",0,11153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Clostridium sp. CAG:167"
"Paraprevotella xylaniphila",0,10970,101108,0,13692,0,0,40396,126704,144056,0,0,48252,49546,119230,350512,0,0,0,48069,6832,31068,0,20783,86008,11101,372052,176760,0,0,0,200477,0,248519,0,669,0,"Paraprevotella xylaniphila"
"Parabacteroides distasonis",0,10257,481637,0,1587065,41892,429964,172666,224624,238598,23723,0,105366,1815851,0,206687,1045925,0,0,107865,11014,181049,2339,19882,378903,16051,328857,579217,118163,149081,17525,258965,84153,709990,0,10796,2145,"Parabacteroides distasonis"
"Roseburia inulinivorans",0,9867,2996477,903776,868,0,10915,3496023,143011,182132,660369,455854,884416,514,798852,159122,0,655295,0,29589,568077,76231,0,297624,0,468951,0,39442,37162,625832,37762,24122095,6308119,551688,330921,1734,52275,"Roseburia inulinivorans"
"Blautia producta",0,9720,0,0,468,0,0,0,0,0,0,0,0,0,194483,0,0,0,0,6840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Blautia producta"
