"","S112","S118","S121","S126","S127","S131","S137","S141","S143","S144","S146","S153","S155","S158","S186","S187","S193","S194","S195","S198","S200","S205","S224","S225","S227","S229","S231","S235","S239","S243","S244","S248","S249","S258","S263","S264","S268","S269","S278","S286","S288","S290","S297","S299","S304","S305","S312","S317","S327","S330","S332","S334","S342","S344","S347","S349","S350","S353","S354","S356","S365","S367","S370","S372","S378","S380","S381","S384","S389","S393","S395","S397","S398","S420","S421","S422","S424","S432","S434","S436","S439","S441","S446","S451","S456","S457","S458","S462","S463","S468","S470","S472","S475","S476","S478","S479","S483","S484","S485","S487","S488","S495","S497","S51","S517","S524","S526","S529","S53","S530","S536","S54","S543","S547","S550","S551","S552","S558","S561","S563","S577","S58","S584","S587","S589","S59","S591","S598","S60","S600","S602","S604","S614","S617","S618","S628","S638","S640","S643","S646","S655","S77","S80","S88","S92","FeatureID"
"Anaerostipes hadrus",427995,256378,181136,268046,141233,1915005,195371,195628,662986,1862880,252863,395256,996516,370798,277411,486956,245754,254235,1924540,172753,687274,981653,415088,972753,405215,2404702,2951344,645571,70938,239431,339801,164555,599226,2322070,3131253,65238,502993,1050712,442613,747746,3016713,359549,347062,1343834,180148,405956,1239746,709946,659656,575266,5521702,1555480,104796,656140,1666613,491103,511145,978426,1650405,1825581,684310,886967,106191,8783764,321288,200161,283717,157504,1275191,179692,970642,300239,260900,892369,6426103,683800,2731108,455952,231179,1091518,1011385,1038523,221773,1989501,1574480,348638,683591,129824,32391,17747,255090,2592653,214468,437468,1795254,651642,697507,395342,152777,192104,1203166,2600758,93722,2770679,214792,1387354,2418628,273390,1249985,345344,452300,905222,131594,114775,989546,4890079,51840,4083235,2369092,809898,88505,725600,954707,671922,374719,633584,1443668,18785,470768,531922,1511591,11679745,539412,185071,730853,292887,142825,923747,138938,854858,277806,512063,41495,61704,78804,"Anaerostipes hadrus"
"Slackia isoflavoniconvertens",379470,0,43371,104343,31342,105950,871,0,0,1327281,111830,78041,330,674,418641,39281,36071,29690,338,3768,56375,0,8674,0,573,0,1797,370062,36070,26245,0,58717,0,1797,16054,293,0,0,114621,0,0,87722,5549,2021,0,0,535620,4070,0,135477,0,0,0,0,351272,4097,75367,0,0,0,1140,0,491,0,1326,0,82108,0,0,75146,36754,0,0,0,310995,4762,8508,1125,0,109340,0,48358,0,2303,0,1536,7851,57205,266795,75822,0,595823,44015,359,175811,100265,10723,52703,0,20096,2659,114363,54864,616,667,3150,223759,1774,33829,106497,42418,55829,102146,16725,0,1259,49807,3757,351603,933,277,0,391475,351316,3180,13856,2376,102644,5937,0,296,0,0,0,0,15727,0,0,0,0,0,89233,817,3178,28180,"Slackia isoflavoniconvertens"
"Firmicutes bacterium CAG:83",351524,56113,48449,441850,46418,186872,6209,5558,746979,350224,167717,24918,45917,19125,41172,62434,313664,938,15966,106885,334963,0,149751,153050,11383,139781,12438,0,1234,39836,0,367873,0,38358,15672,18422,50412,766,29000,14811,0,23662,11924,42016,280917,0,1010193,0,0,0,2934175,987990,9750,0,15567,81975,7856,52250,0,9005,40237,0,72120,1045879,11392,65405,25441,33668,68083,26056,333794,1141641,1225355,352524,595771,191796,38259,0,33323,250431,1199481,27164,13867,2866298,589165,29820,121075,65287,91543,26344,7252,95546,10309,14615,343070,0,58910,37970,1552,26634,198909,245639,437795,0,18065,0,385535,0,54289,25778,0,0,397477,849493,0,331962,0,44077,0,26977,11885,1126614,32921,94293,835970,3755,47664,459713,3182,1512969,461599,0,444903,7683,26102,10516,14083,3607534,7461,0,38839,0,15254,14125,368589,"Firmicutes bacterium CAG:83"
"Ruminococcus bicirculans",337169,349804,507499,1181293,106201,0,37901,373823,626886,626662,512982,211765,2006636,1571441,0,18694,0,0,347989,1974066,526084,117030,270317,1018311,932771,1212684,540302,1119163,49208,1190335,25216,1024292,208887,0,0,9312,775977,0,1933,98842,0,348294,625599,1628056,110629,16064,0,4490203,0,0,0,0,234602,15036,52004,38134,54955,66180,0,0,8264,0,26421,222320,12814,0,788748,872467,689371,474087,689462,511761,1098422,3248698,6992788,9433,21548,17677,0,29940,0,141658,116217,0,2439647,0,0,5330577,27661,157085,3960,1074842,345762,2426319,952134,57813,0,1606699,1255373,2590,290534,1153415,1979,2071,24079,520336,4629313,0,16926,392335,1453763,0,0,583775,3682,2048505,0,4817,0,0,773268,135587,600563,0,618921,230934,112460,450707,10480,1435149,1145175,0,0,15196,667181,0,180364,836057,0,0,792129,0,825081,0,21168,"Ruminococcus bicirculans"
"Anaerobutyricum hallii",306637,800434,388637,392606,277531,741155,66429,471406,675044,0,144844,692287,325359,869632,55464,615912,745079,61463,2220584,317024,1515270,269061,179014,963119,551787,416206,2139562,709980,180852,456626,431048,588685,167045,1498438,322078,154916,250883,944421,721066,513877,1247733,827576,202157,1214892,494270,402271,2215663,5259701,529673,99896,331267,534759,180703,1018782,472793,77743,120499,509247,437949,568293,646995,886563,483394,1420800,136155,506495,171625,493328,2116831,405031,61559,408372,649732,284216,1070851,1375515,538475,611377,2506101,251284,455343,1551295,278639,185888,800938,766064,1658862,339500,585769,292294,185177,933450,592768,323021,628163,1091598,1264366,1221699,225259,1572301,1399746,1406620,645991,932472,159018,1257043,395075,1414766,893859,923825,1946072,81135,895782,1128546,533674,1348963,130743,1301892,289032,1344656,150997,1461637,361026,542768,835932,431092,1181536,363086,879480,615857,872790,184215,344771,149317,332824,255203,154157,4632578,109946,802030,244878,522566,172349,240370,300400,"Anaerobutyricum hallii"
"Intestinibacter bartlettii",303038,3782,49832,73590,108274,0,44349,0,10294,0,589927,109332,376954,0,54716,187758,192163,3378,543684,112175,0,0,181659,0,0,0,0,0,87914,1688,47239,1653,55573,0,0,144209,17282,65451,8716,0,23544,0,0,18644,47455,313455,91446,0,7571,0,243503,73492,4589,8857,152608,11554,0,1570077,17321,9844,8742,9023,2087,0,214865,20558,297638,35319,0,142731,0,933832,65745,7019,101715,61310,11743,24811,5031,0,120442,66052,0,110585,0,0,0,453193,0,36012,0,24979,0,0,53736,7436,0,0,3846,0,0,0,95446,0,51728,2797,343583,1602,0,73805,0,0,0,244410,0,300254,0,0,72691,0,0,143462,18476,55885,393118,114655,0,15447,0,42696,0,0,2731,0,0,0,352634,49048,46476,0,0,0,13634,0,0,"Intestinibacter bartlettii"
"Alistipes putredinis",278523,2290154,324883,805462,361496,647182,73031,800072,1353478,0,192913,1616736,761465,0,276293,567036,3491001,1745157,113065,2002422,16769,1028365,640372,677004,569427,604104,228438,200304,162397,988715,230637,284145,194255,140475,34180,681965,0,264007,407737,289396,496734,984611,114672,631803,1186950,483037,94420,6079145,490670,1078994,90053,35589,156972,317753,324943,578840,216693,413063,0,0,504085,0,1117283,713122,325210,51631,534002,364298,695967,0,326907,948855,981073,0,366519,798364,1292722,1539043,497820,359419,0,0,0,6714085,1360456,450886,407125,776810,756776,20804,141950,1515,100797,18160,1155777,61231,1630389,2841175,75883,371502,1371703,1317284,743962,253638,182554,1305628,1596124,393891,317198,151535,246082,246757,1100116,1030064,20365,0,48482,1256582,309024,529829,0,0,778753,112666,141161,327816,1012341,985539,21381,0,1138763,52679,0,286874,464015,652375,353018,0,0,821407,180112,413753,436617,722318,103107,"Alistipes putredinis"
"Phascolarctobacterium faecium",259799,0,0,0,0,0,0,0,0,0,0,34267,0,0,0,0,7105,0,0,0,167081,0,0,172207,0,0,0,0,0,0,0,0,33122,0,0,0,5617,0,0,731,0,0,0,0,142,0,0,0,190263,0,13465,0,2157,0,62161,11124,198783,0,0,0,0,0,0,0,6547,0,0,0,0,0,0,0,0,177535,0,138100,0,0,0,416914,0,0,0,0,0,0,0,2103,146631,0,0,0,403,0,147796,0,0,0,88562,0,234448,0,0,0,0,0,0,0,302625,0,0,131005,728334,0,0,0,18218,0,0,0,0,140656,375080,0,0,0,0,585,656831,0,0,0,0,8521,0,60537,2747,219875,47487,0,15054,0,283,372673,412376,"Phascolarctobacterium faecium"
"Parabacteroides merdae",239901,118326,428922,21953,143247,0,20921,0,600652,0,100523,179246,430842,488905,62798,98272,0,211472,0,0,58962,0,79360,216947,133714,232330,18135,84417,0,0,0,180234,0,0,70405,188724,22356,0,90149,102305,47539,125125,50859,0,282525,0,25011,1186031,143207,95163,0,0,28911,0,250018,11027,0,11807,0,0,213736,281737,0,0,2763,134374,130847,0,0,22983,187361,100304,0,165442,56438,272494,64931,345659,227885,179096,708444,98356,0,0,445950,0,170968,272566,27858,0,123467,106879,50732,0,112708,16415,0,262382,2090,11855,178207,0,39961,119508,0,268144,216631,181832,0,138753,0,352044,137663,145205,0,0,0,0,5597,247722,276983,0,202762,254555,13599,39396,303891,375864,107657,0,0,0,0,389,97141,68900,58963,0,247068,0,19997,124692,112128,8152,54478,"Parabacteroides merdae"
"Roseburia faecis",228520,512814,5948262,123548,442411,0,199191,796686,1279149,0,1399335,143186,1593763,207490,3000461,1610493,199464,550611,0,3040854,14342,640212,234522,365077,1137544,41515,182328,0,153309,1500960,632866,170135,300077,2437504,5399,471971,1700538,1189365,235841,114316,106874,411663,1036704,0,1363376,1058340,2309,0,4847308,65264,6118,214139,431752,96124,22937,708248,53908,1116799,0,1949592,5831,7279,17661,422026,513075,1359412,21617,2055925,311405,3903600,1035205,99559,392,0,517638,2341,0,4205089,2499208,0,1609545,5309728,263640,0,3101998,7520076,1343237,1677952,468340,1168210,833826,617398,18569,471,4849400,208304,722786,0,540415,521620,73698,2497970,809945,2278519,3536721,97900,163301,0,465492,0,85746,1438665,2162079,81670,6344,2479167,203256,3168235,0,6127158,852379,76891,1359940,190255,4155275,635832,1570113,4012964,580485,215141,48643,154626,3975596,27700,663262,414789,793865,423561,10080,853556,160790,489254,227431,125377,140059,"Roseburia faecis"
"Barnesiella intestinihominis",176253,164340,214135,542084,38209,18708,279842,26747,0,0,53126,190629,206521,921700,261393,390166,2445616,720167,0,0,372548,0,880480,208047,36460,169534,29105,76832,19523,0,0,79643,87791,0,219375,293319,103628,0,19401,56143,80850,0,19820,0,236273,439472,55187,1596915,8289,23554,27580,0,19399,625901,512773,193387,420751,16625,0,282801,75512,0,599267,0,305245,101796,123847,87663,0,0,73035,6855,0,0,26662,169348,551712,70020,110972,197619,0,55203,0,0,82241,0,98565,139909,191515,0,61062,0,9231,796308,630937,233,374060,875556,10573,7444,1386231,267054,244390,81073,263376,591155,1031070,0,485718,31553,0,0,0,136446,0,0,0,276162,104109,0,0,183369,3669,0,0,67204,0,368062,284470,0,214647,0,0,262517,0,238157,356277,0,1260874,434305,21680,301382,29135,205195,21414,"Barnesiella intestinihominis"
"[Ruminococcus] lactaris",169869,97749,44028,614768,374927,0,8980,0,25112,355394,52696,270880,221018,0,648551,238816,0,127661,456218,0,69052,173983,290954,372071,93599,0,65464,856094,0,117220,9668,0,0,1356326,0,0,0,313853,268860,0,0,0,0,0,0,605020,0,0,0,0,0,5878,0,0,0,58209,95356,218524,0,0,6057,0,0,0,39941,77583,0,10497,0,0,0,0,119092,903054,0,0,0,416465,0,514738,0,130,0,7081,67184,8855,93305,0,0,0,0,0,0,0,47243,346750,448017,0,0,229271,2713690,624077,0,228650,356560,17830,0,0,672810,0,0,0,0,165157,0,389358,226921,0,0,0,220193,155037,495774,393417,13194,0,0,0,219425,0,882488,0,299003,59840,65052,41731,14320,0,129529,5629,0,920762,67110,128787,511880,"[Ruminococcus] lactaris"
"Phocaeicola vulgatus",165709,0,715490,1001379,64365,411818,30365,0,1703178,0,119137,2993883,2069874,0,164232,1821480,682,919241,0,253559,493913,0,157395,648770,407830,286591,56743,39209,13581,576502,1677915,184597,8598,270860,480851,399757,112418,0,839200,115115,1034228,264046,53549,385807,672805,2831239,459,7081757,333224,49846,39384,48771,182474,0,263129,302465,153222,87052,0,2692046,0,1727047,0,238,770138,137060,542375,898706,0,0,911569,1861772,0,0,289412,101303,837982,454,917297,3443662,3748618,340482,0,3311633,2908370,1635993,57214,1990961,104758,693,101524,337503,249815,2000280,595828,0,5605949,1986131,133529,192818,1070601,420369,785078,84527,781340,0,1356443,0,730776,56688,336805,373810,1692106,519122,509,0,892605,0,0,1813064,1078761,1951895,230708,1248295,258718,156498,3341415,1430462,360457,126665,0,108881,0,233483,461860,1398867,1345365,0,1325794,1792517,90298,615290,327150,155573,28481,"Phocaeicola vulgatus"
"Dorea formicigenerans",162933,306599,136892,59672,158760,314613,22440,89055,191754,560611,58323,381554,162307,267677,177739,154038,72353,119474,654031,111012,393288,372576,56681,120544,55911,85524,325610,223960,197368,71347,72764,324047,46255,212385,118645,101674,152013,117859,179766,23127,157431,157231,43169,113498,415419,163747,2613249,2333717,129780,72130,1154988,133257,22895,223097,97819,130527,246175,57772,519887,358631,60755,124078,75229,985223,33401,151192,115802,171631,271138,93272,214680,56978,74820,111170,717542,203330,593330,319884,543399,103721,523087,567636,205401,364882,401124,320321,159656,219612,191410,137392,26812,622940,167785,279831,371712,370988,251535,374056,63250,415093,189382,562747,292933,186429,88807,328156,616898,522903,266198,309483,608841,143457,326296,305528,55907,441602,30565,241708,600406,471351,82808,224277,277647,149710,319694,215152,236347,88509,82760,244799,170279,203467,77904,30603,45785,39979,59625,508950,24143,46593,26444,117078,65332,226114,546805,"Dorea formicigenerans"
"Bifidobacterium longum",159804,89218,240607,941872,121784,1117920,125614,213585,0,0,248965,313884,579581,0,586776,857484,828367,0,690104,863668,1109655,0,59729,410573,203825,238766,6902,909216,85364,331703,83640,405881,153531,309840,0,306197,444146,230798,497776,171617,0,106649,154131,65264,1243174,320696,1418863,0,296830,9041,1284333,416335,51507,213178,715185,181022,627162,141034,1245718,54020,201625,114374,181140,202870,77913,85792,721084,404757,92622,179897,76233,287892,1060230,743390,553166,161617,0,316380,135780,3565,558212,808725,0,1342278,700304,1439486,1106317,11781,256299,248856,157247,2108333,269696,138960,2781412,0,283824,0,101322,1705403,118145,212808,564006,63875,128623,309342,390030,171586,32817,367376,865832,326291,15389,1202349,191740,0,1628625,0,212374,455333,0,190871,11817,0,1030906,139761,57915,715969,319331,1000886,877985,1085388,256824,132700,165084,158586,18760,0,81706,0,114444,0,330898,568362,3315,"Bifidobacterium longum"
"Bacteroides stercoris",156170,0,0,123926,0,203086,12961,0,271790,0,0,0,949115,0,0,661310,676065,0,0,438317,0,0,0,593075,65588,0,0,0,0,0,0,63535,3285,0,0,0,0,0,0,210243,0,284563,57917,0,0,0,0,0,0,31879,64328,0,547011,0,0,0,0,14670,0,0,0,2872073,0,0,0,0,0,0,0,34664,330816,200494,0,0,184351,0,82467,0,419385,0,0,150609,0,541541,0,0,0,279659,0,0,1790,0,10286,0,94695,0,0,751174,796772,0,123270,0,386388,173172,0,134026,195257,0,0,0,114484,0,886811,62996,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200799,488409,0,0,0,5696,180670,540268,0,26138,0,0,0,0,87532,9355,"Bacteroides stercoris"
"Coprococcus catus",137042,29402,84329,152680,89185,217769,56279,88158,153976,519278,127618,211431,160481,232675,410858,172497,228984,91686,225081,221632,257102,124144,55791,104122,100556,29249,476876,177851,342260,96183,15495,150886,91117,0,94735,50557,162989,0,157702,4613,0,54197,82989,199870,94954,146013,533001,1406534,91579,37337,0,179042,61519,0,0,0,343680,527915,0,307899,176542,0,0,431662,180476,165632,166610,130514,657816,139710,0,499024,0,137154,211125,264419,65365,0,24905,127659,0,259417,29342,339425,275806,246011,274566,164527,252511,108992,38841,266455,154823,44901,348063,781866,221415,379839,54683,440180,22393,138398,14353,93672,74792,420769,201016,655163,66048,223528,555258,309527,96199,582176,0,107816,36459,16549,0,391440,16109,271930,235736,288465,182009,27734,9192,110342,69259,144552,259240,11382,29759,40607,51414,42885,4884,12568,40382,0,52656,113215,46537,76812,181566,"Coprococcus catus"
"Bifidobacterium pseudocatenulatum",118877,0,0,23010,0,0,0,7192,250465,0,0,12457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1857540,0,0,112790,0,0,471127,406626,0,0,0,0,0,0,0,0,0,0,0,31819,0,0,0,1634100,0,0,0,0,46080,0,28671,0,78088,0,0,0,102265,0,0,0,6233,0,674,0,0,0,0,0,0,0,140473,0,3330,0,0,0,87831,114388,0,0,11186,0,0,4005,0,0,313385,0,0,0,0,0,0,0,0,2736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221504,0,0,0,0,0,58893,392876,0,0,0,0,21898,0,0,334496,0,316253,0,0,0,0,0,0,0,4597,0,0,"Bifidobacterium pseudocatenulatum"
