"","SZAXPI003409-8","SZAXPI003410-3","SZAXPI003411-6","SZAXPI003412-1","SZAXPI003413-4","SZAXPI003414-3","SZAXPI003415-12","SZAXPI003416-4","SZAXPI003417-4","SZAXPI003418-8","SZAXPI003419-6","SZAXPI003420-4","SZAXPI003421-5","SZAXPI003422-11","SZAXPI003423-8","SZAXPI003424-12","SZAXPI003425-1","SZAXPI003426-11","SZAXPI003427-1","SZAXPI003428-6","SZAXPI003429-3","SZAXPI003430-5","SZAXPI003431-1","SZAXPI003432-12","SZAXPI003433-7","SZAXPI003434-7","SZAXPI003435-11","SZAXPI003436-7","SZAXPI003437-3","SZAXPI015209-133","SZAXPI015210-17","SZAXPI015211-166","SZAXPI015212-113","SZAXPI015213-15","SZAXPI015214-19","SZAXPI015215-20","SZAXPI015216-169","SZAXPI015217-140","SZAXPI015218-16","SZAXPI015219-129","SZAXPI015220-136","SZAXPI015221-142","SZAXPI015222-123","SZAXPI015223-158","SZAXPI015224-13","SZAXPI015225-18","SZAXPI015226-14","SZAXPI015227-13","SZAXPI015228-14","SZAXPI015229-15","SZAXPI015230-16","SZAXPI015231-17","SZAXPI015232-18","SZAXPI015233-19","SZAXPI015234-20","SZAXPI015235-21","SZAXPI015237-23","SZAXPI015238-24","SZAXPI015239-25","SZAXPI015240-26","SZAXPI015241-27","SZAXPI015242-30","SZAXPI015243-31","SZAXPI015244-32","SZAXPI015245-33","SZAXPI015246-34","SZAXPI015247-35","SZAXPI015248-36","SZAXPI015249-37","SZAXPI015250-39","SZAXPI015251-41","SZAXPI015252-43","SZAXPI015253-44","SZAXPI015254-45","SZAXPI015255-46","SZAXPI015256-47","SZAXPI015257-56","SZAXPI015258-57","SZAXPI015259-62","SZAXPI015260-74","SZAXPI015261-75","SZAXPI015262-79","SZAXPI015263-84","SZAXPI015264-87","SZAXPI015265-88","SZAXPI015266-89","SZAXPI015267-102","SZAXPI015268-109","SZAXPI015269-94","SZAXPI015270-90","SZAXPI015271-93","SZAXPI015272-108","SZAXPI015273-95","SZAXPI015274-111","SZAXPI017451-16","SZAXPI017452-17","SZAXPI017453-19","SZAXPI017454-20","SZAXPI017455-21","SZAXPI017456-23","SZAXPI017457-24","SZAXPI017458-25","SZAXPI017459-26","SZAXPI017460-27","SZAXPI017461-32","SZAXPI017462-33","SZAXPI017463-36","SZAXPI017464-37","SZAXPI017465-43","SZAXPI017466-84","SZAXPI017467-87","SZAXPI017468-88","SZAXPI017580-90","SZAXPI017581-93","SZAXPI017582-94","SZAXPI017583-102","SZAXPI017584-108","SZAXPI017585-109","SZAXPI017586-111","SZAXPI017587-113","SZAXPI017588-123","SZAXPI017589-133","SZAXPI017590-136","SZAXPI017591-140","SZAXPI017592-142","SZAXPI017593-158","SZAXPI017594-166","SZAXPI017595-169","FeatureID"
"Coprococcus comes",936583,275870,5281,64778,21831,707481,250477,0,0,260003,0,95780,200596,675814,0,0,1212294,53959,14357,0,183328,0,112916,379756,0,0,439095,139827,0,0,1084664,1155651,3022779,102216,0,352133,206580,116089,149086,93871,582674,1435186,77600,466138,368937,205393,74210,599697,1365167,67114,616578,264724,0,780923,239023,487155,0,264466,0,2452048,0,774488,233238,1134988,184692,0,0,543563,502255,487127,154080,0,709000,0,206106,0,3656512,375578,1068735,0,202711,210816,112533,125478,300051,433823,130326,345028,306057,345384,895150,40198,2019629,2619983,0,0,121232,33403,0,251046,53150,33210,2833706,19505,273687,224043,0,0,8671,50303,291298,22022,1163423,0,0,0,0,0,433211,0,282110,211374,600977,1229461,0,65273,663661,0,"Coprococcus comes"
"[Eubacterium] rectale",929025,0,11717,0,688029,1116811,0,0,1749271,0,0,5312,769229,1407064,0,0,4941670,0,23947,7800,78463,23639,0,564110,0,10881,17869,66647,10644480,439040,316548,1256,883278,10117083,892798,4236349,27987,5310,158317,3827693,84285,322327,5453833,322610,432370,7072,884545,6734812,35806,3974,2009315,1156007,0,1470,0,2499008,0,1369034,0,1428,1931603,6847898,2491678,1348144,716118,0,392705,914120,146635,16695,1195118,62718,2724320,0,4148850,437563,418,309409,0,4735426,76747,90305,173146,4556437,1634437,3577954,364784,2111901,145,5807264,1274072,6229084,2609,15624386,0,0,493707,9099,1236534,1050369,16265,1895973,0,0,0,1949825,10308,0,274066,111063,188416,3375,0,0,0,0,603,0,6083576,21238,4084435,986942,82111,12511025,1386421,1755468,1864268,272,"[Eubacterium] rectale"
"Bacteroides caccae",923485,1950,30955,998,4275470,2180661,263618,1316,6686,1526584,481,70358,490451,188865,1683213,0,1920008,174573,372907,590192,909232,5093,1052619,2747,1307268,2555530,126341,354016,55643,1361769,43729,1327660,0,2004549,1404,3121563,0,629621,306373,762109,76935,965,358823,277284,0,2926182,426093,148539,3085135,0,2221736,869192,0,0,0,290617,0,0,0,8676753,90625,61320,899283,209529,180677,0,0,63779,0,139190,1623050,128889,477463,0,610801,831651,0,122834,0,358466,402936,0,208023,244052,0,0,53788,1443704,380792,452682,0,378534,224980,680611,4988,1260830,143360,3025463,802216,0,0,0,681259,2825313,1304640,1105970,82686,0,277117,633350,251976,17780,2629156,456295,0,93,736122,0,2114371,4853,4029850,0,449,0,24095,508978,471307,358029,"Bacteroides caccae"
"Parvimonas micra",875457,280564,1188618,281981,265703,3366,2317,135982,0,1555,0,2811,1033,595315,0,5574,0,10007,0,0,0,0,61446,218,0,0,5041874,10442,8667,0,6424,0,0,1683,0,0,0,730116,2546221,0,0,339731,213630,0,0,0,54995,0,0,431,0,0,0,0,0,0,11337,0,115,8049,0,0,0,0,0,0,0,0,0,1206745,0,0,0,0,1290,0,0,0,0,0,5695,0,0,0,0,0,0,1350,0,0,0,0,0,0,0,1537,145995,0,8179,0,3791,0,0,0,0,0,90628,107198,0,41038,0,10260,36959,494653,12751,23347,114884,1787,609463,2061,0,5794,4448,0,0,0,0,68673,"Parvimonas micra"
"Barnesiella intestinihominis",836255,0,36654,0,80002,0,0,0,0,0,0,148237,768334,1101,2326,0,0,0,0,0,0,0,1897041,0,0,0,0,344720,0,46712,0,0,0,51376,0,255299,709904,968009,937445,0,0,0,0,0,3571,2064963,0,66738,0,0,314520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612178,0,161103,0,107592,0,0,0,0,0,0,0,0,0,0,0,0,1847562,159482,263177,0,0,0,0,0,0,715019,75432,0,0,0,506336,0,0,0,0,762700,0,0,0,47268,0,0,0,0,0,13449,0,0,0,494812,0,0,120104,10174,11358,0,69655,"Barnesiella intestinihominis"
"Anaerobutyricum hallii",781915,155605,631526,107553,27952,116079,599012,0,4513,34449,32364,33882,56284,77471,0,407088,232774,6822,51281,0,113899,181569,424,103727,265785,0,73774,294201,534357,4838,97378,104993,250116,74421,89356,124930,77597,44151,486101,21859,17222,61198,94025,60855,631684,9388,29935,184358,0,34013,748585,62838,14832,0,579931,344006,0,113591,8850,0,255681,32344,114172,156392,52089,65151,49295,12945,103440,170714,302882,161023,591248,0,100369,3482,110082,18868,258055,69506,27135,280173,75808,25003,39919,99021,3300,85341,194036,90997,189329,24012,138008,16249,0,65010,25692,26489,21477,286858,10721,65077,0,69015,16497,21735,46582,0,52612,299405,22671,8626,33111,41985,0,32329,3166,1813,16066,0,50004,16692,1086825,271392,1023696,61288,432270,0,"Anaerobutyricum hallii"
"Bifidobacterium pseudolongum",672093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bifidobacterium pseudolongum"
"Lachnospira eligens",594607,4920702,4946,552331,10071087,0,0,1292,770047,231873,2687268,674631,7979587,6681,1456,82,249,0,2181,402,1261019,3256,278,11706,1022,146,64799,1572693,3374,373380,1832003,1138,1287103,0,180506,363046,4614,1176004,1755458,0,825522,0,40162,390060,6515,1585381,0,1047565,12832,35732,3559976,0,0,62333,0,1667881,0,1411292,0,0,3539787,2627031,778778,93700,804459,53688,137767,3590195,2544204,34138,33833,2324869,520081,5789831,5386040,0,11606069,3995891,6291210,1440389,933022,178310,1713161,2784392,91,3614920,919565,2086559,9176903,10498554,1497565,2318413,1937231,0,6499,2563059,313554,432976,0,176892,1486536,3312756,0,241989,0,1431169,24340,5403427,0,44133,1748272,22576,293324,0,0,189178,149085,3812845,1563440,3861,92429,9180,9514,192037,417101,3380985,2233481,608,"Lachnospira eligens"
"Firmicutes bacterium CAG:83",594085,1690080,25680,2068497,457803,1431467,30785,128088,209097,292915,0,12516,345064,82512,14147,190026,1221031,91623,0,0,5447,0,1857,1224,142660,0,2317741,686839,0,54437,10463,1007772,17827,690090,0,29724,2552362,166240,77134,0,107987,685047,0,350303,82142,104415,54110,24840,0,2348,434743,55704,0,0,117243,55953,0,7936,0,1377910,443855,121124,1317698,167806,85394,0,918409,213743,279756,1201108,82672,92252,2034982,0,40594,18271,0,377811,0,0,4326,419637,145531,203780,77005,225235,15889,38989,64402,161137,1976734,47184,15368,0,0,0,72405,500550,0,898580,39130,310594,0,139244,7436,668217,1923071,241027,1527958,8704,71976,11572,57173,0,0,76964,829425,246828,2398589,4493,170317,0,64088,115318,3415920,594868,108138,0,"Firmicutes bacterium CAG:83"
"Dorea longicatena",591065,216689,1546266,711330,230690,0,355498,0,43638,251643,343330,103890,125082,923441,0,1523595,407,80975,1013134,0,150784,218046,234640,90033,0,237,403345,44189,3186818,0,1757650,793252,627608,498440,0,715145,525982,78229,409268,1024128,86868,528424,160837,2281957,448152,61184,146039,785172,351708,14727,414298,132692,0,626576,288445,423509,0,201587,37953,0,144372,242037,261224,762270,52472,25487,50211,176465,430896,639501,113155,233893,783530,0,151495,71094,4219385,145000,0,343961,247514,398559,12178,280792,434802,549250,47806,124457,591807,76284,142031,52376,1718980,0,0,0,86141,278511,556437,0,59546,103669,0,218965,79484,196680,147475,0,47580,169670,137652,72258,715572,0,0,464643,59967,150654,90336,0,220110,138257,990619,1247535,35922,123285,1031951,2505805,"Dorea longicatena"
"Oscillibacter sp. 57_20",539149,80598,34116,262,282811,53707,0,0,134967,62720,0,144698,324086,9784,0,0,223018,22630,0,0,1700,0,144456,20223,0,0,34902,20537,0,1958,0,0,703,467237,0,768848,0,248638,21412,0,307824,0,170202,363,45257,9226,84303,138979,0,0,261817,80994,0,0,170315,511784,333296,54925,0,83325,15130,134364,484884,69888,73592,0,43778,0,191290,28632,110783,23296,59366,0,134532,6865,0,5571,0,0,256460,291372,212671,356632,0,28073,197917,237550,900098,714138,130263,95341,101727,0,0,0,220963,0,0,50900,492966,107653,0,0,0,342217,246291,0,0,395219,274134,74817,407231,67617,329980,0,0,0,498247,0,3915,0,0,216930,3221,90298,151707,0,"Oscillibacter sp. 57_20"
"Clostridium sp. CAG:510",531319,0,0,0,49602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Clostridium sp. CAG:510"
"Prevotella intermedia",522267,378261,0,642631,249356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228688,0,0,0,42904,0,0,0,0,0,0,0,0,0,0,1642414,496485,0,0,0,0,0,0,0,269661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127243,888051,0,0,0,174450,0,41676,0,0,0,0,253353,0,0,0,0,0,0,0,0,0,"Prevotella intermedia"
"Paraprevotella xylaniphila",504723,0,39175,324254,0,0,0,0,0,0,0,151650,0,0,0,0,0,0,114987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17930,0,0,70698,0,0,0,0,0,0,0,287858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290430,480293,768651,0,0,0,0,441739,0,0,0,112618,0,0,0,0,58736,0,0,0,0,0,0,0,0,83162,0,0,0,110365,90674,0,0,0,268914,0,0,1810568,3117,0,0,0,0,0,0,0,0,"Paraprevotella xylaniphila"
"Roseburia sp. CAG:471",492919,0,114,3926,0,0,0,0,0,184,436,0,0,986,0,0,0,0,0,0,622,0,0,0,258,0,0,0,0,0,42533,0,0,0,0,0,0,0,0,0,0,0,0,782,521,0,0,1519,0,0,555,0,0,0,373,2186,0,255,0,1610,0,0,0,13060,0,0,0,0,7642,0,0,0,10028,0,0,0,0,16233,0,83003,0,0,0,0,0,70,11474,0,925,582,0,0,946,0,0,0,0,0,0,0,0,0,0,0,0,8159,0,0,0,0,18450,0,0,0,0,0,0,0,0,0,0,1856,5817,8939,285376,0,0,0,"Roseburia sp. CAG:471"
"[Clostridium] leptum",451482,29926,74836,70494,43049,2272,14415,0,0,5158,0,966,755262,1025573,0,61738,2405,0,0,0,0,0,8598,3471,646162,2074,298658,390078,0,5936,0,29440,0,3303,0,623818,16294,53590,162764,0,981,8630,288065,106031,0,145984,0,267930,0,0,21274,0,0,0,64792,8037,0,0,0,78707,20526,2666,1085,17613,3558,24228,0,4391,2492,264004,3816,79642,41029,0,6686,180,30860,8437,5619,0,14064,88383,1302,11871,0,0,85484,2416,171652,0,21968,0,3337,0,0,0,1931,3079,7287,84625,0,0,0,2628,0,0,19591,0,6139,129933,5227,0,7161,40021,0,0,3893,0,2000,0,3254,70160,38221,20148,29159,52856,1417,4149,"[Clostridium] leptum"
"Firmicutes bacterium CAG:110",448548,0,0,0,965053,0,0,0,0,0,0,43858,7371,0,0,0,1941,0,0,0,0,0,0,0,0,0,12004,404458,0,0,0,0,0,0,0,0,40432,73393,347743,0,3167,0,0,0,0,1062575,49353,10022,0,0,0,0,0,0,0,0,0,0,0,31029,0,908,2599,61609,1898,0,0,0,0,8200,44270,0,1386,0,22438,0,0,0,0,0,0,32903,170217,577600,0,0,0,447529,533647,0,0,4494,0,0,0,0,1013904,0,0,0,72858,0,0,0,0,0,0,0,0,1367480,256430,13164,0,3620,0,0,0,0,0,0,4120,0,0,46441,49157,146238,109667,0,"Firmicutes bacterium CAG:110"
"Dorea formicigenerans",415549,88532,646148,794080,11063,260084,292679,0,67511,210229,83754,88199,77370,244490,160404,2026214,599660,34627,7917,0,119067,335054,217822,157196,0,0,131166,138694,0,22564,268672,649658,522841,180158,0,390466,218101,39172,168732,1218145,49906,191704,91532,354376,185663,114780,31672,574289,68006,2317,270807,80528,0,0,510904,103586,249753,236388,19398,106474,124436,73984,65704,110603,90701,0,128965,151233,203626,188826,94505,275098,1409807,0,62501,32403,1117032,119782,0,392821,17824,9383,58374,87856,159421,70904,57425,44496,109667,62027,54701,13027,1207474,0,867,570661,241180,304823,751181,199037,0,212380,639996,229956,243866,67870,98965,134763,0,162457,146417,32884,142536,110625,148641,156024,22561,0,270772,0,397005,144501,1833123,1083267,274676,111868,622879,2049922,"Dorea formicigenerans"
"Clostridium sp. CAG:242",398770,25555,0,0,0,0,0,0,0,3024,0,0,28367,2199991,20689,0,0,0,0,0,0,0,0,0,0,0,72077,68443,0,22109,0,19757,0,0,26126,120711,0,509214,128594,0,8870,0,0,0,0,426657,0,84443,0,0,0,0,0,0,31000,72121,0,396,0,0,0,0,0,656453,0,0,90176,0,0,171060,34269,42767,11149,0,16482,0,0,31354,0,4021,283483,77482,0,0,0,44073,9288,326898,159966,0,1071116,1776,0,0,0,0,317239,111190,363097,483621,140620,0,0,0,0,51166,0,0,0,200771,49267,3929,682394,417441,0,131071,260834,0,0,0,0,0,106804,0,70243,361019,0,0,"Clostridium sp. CAG:242"
